日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2023/9/1,0.9,東南東,993.9,415.3,1.1,79.8,34.5,24.7,27.5,159.64,245.439,27.8,"7,211,728","7,453,728","-242,000","4,395,600","11,849,328"
2023/9/2,0.9,東南東,993.9,405.8,1.3,78,32.3,25,27.8,159.89,247.59,41,"5,758,000",0,"5,758,000","3,711,600","3,711,600"
2023/9/3,0.4,東南,992.9,333,5.1,81,28.4,25.2,27.4,160.79,255.042,47.5,"9,031,000",0,"9,031,000","18,572,400","18,572,400"
2023/9/4,3.8,東南東,989.1,96.4,3,78,29,26.4,26.6,162.53,269.682,67.5,"19,652,000",0,"19,652,000","37,918,800","37,918,800"
2023/9/5,5.1,東,989,50.5,6.6,74,32.4,25.3,27.6,164.31,284.463,6.7,"9,392,520","2,450,520","6,942,000","19,814,400","22,264,920"
2023/9/6,0.6,東北,995.8,303.5,2,78,32.2,22.6,27.7,164.47,285.682,24.5,"5,658,472","6,863,472","-1,205,000","23,533,200","30,396,672"
2023/9/7,0.3,東北北,999.2,220.2,8,83,29.2,22.9,25.9,164.3,284.259,4.6,"4,984,732","6,873,732","-1,889,000","20,736,000","27,609,732"
2023/9/8,0.8,東南東,999.8,219.8,1.5,78,27.3,22.1,25.4,164.01,281.742,7.8,"4,070,108","6,894,108","-2,824,000","13,942,800","20,836,908"
2023/9/9,0.5,東南東,999.8,198.7,2.9,81,33.5,20.5,24.9,163.81,280.018,0.1,"3,102,676","4,211,676","-1,109,000","10,306,800","14,518,476"
2023/9/10,0.5,東南,999,502.3,4.4,70,34.8,19.1,25.7,163.63,278.466,0,"2,344,832","4,217,832","-1,873,000","7,671,600","11,889,432"
2023/9/11,0.6,東,998.2,602,4.7,67,33.2,23.1,25.8,163.5,277.389,0,"1,678,232","2,783,232","-1,105,000","6,249,600","9,032,832"
2023/9/12,0.6,東,998.2,73.7,0.4,67,35.1,21.2,27.3,163.35,276.125,0,"1,340,828","2,781,828","-1,441,000","4,960,800","7,742,628"
2023/9/13,0.4,東南,997.9,521.4,3.9,69,35,22.9,27.3,163.18,274.621,0,"1,263,680","2,785,680","-1,522,000","4,190,400","6,976,080"
2023/9/14,0.6,東南,998.1,472.5,3.6,74,34.7,22.9,27.3,162.99,273.015,0,"1,040,948","2,643,948","-1,603,000","3,639,600","6,283,548"
2023/9/15,0.6,東南南,999,509.6,3.4,73,34.9,22.8,27.5,162.77,271.181,0.1,"917,960","2,937,960","-2,020,000","3,097,800","6,035,760"
2023/9/16,0.3,南,1000.4,436.3,3,74,35.5,23.2,27.4,162.55,269.313,0,"953,280","2,798,280","-1,845,000","2,818,080","5,616,360"
2023/9/17,0.3,東南,1001.9,510.9,3.4,71,33.5,23.9,28.1,162.32,267.379,0,"796,500","2,803,500","-2,007,000","2,718,720","5,522,220"
2023/9/18,0.3,東南南,1001.3,389,2.4,73,36.7,22.8,28.2,162.05,265.175,3.7,"626,348","1,794,348","-1,168,000","2,527,920","4,322,268"
2023/9/19,0.7,東南,1001.8,493.7,1.8,71,34.7,22.9,28.1,161.94,264.314,0,"480,188","1,396,188","-916,000","2,345,760","3,741,948"
2023/9/20,1.1,東南東,1001.6,568.7,4.6,66,35.6,23.6,28.2,161.81,263.128,0,"683,200","2,761,200","-2,078,000","2,195,280","4,956,480"
2023/9/21,0.4,東南,1000.6,415.7,5.1,71,35.9,23.4,28.1,161.59,261.36,0.3,"619,052","1,946,052","-1,327,000","2,007,360","3,953,412"
2023/9/22,0.5,東南,1000.9,429.6,4.2,72,34.4,24.4,28.2,161.42,259.968,6.2,"462,408","1,950,408","-1,488,000","1,860,480","3,810,888"
2023/9/23,1.4,東南東,1000.5,492.5,4.5,69,33.1,25.1,28.7,161.26,258.587,6.2,"632,324","1,953,324","-1,321,000","2,075,760","4,029,084"
2023/9/24,1.7,東南東,1000.5,391.1,4.2,69,35,24.2,28.7,161.09,257.213,0.3,"555,304","1,955,304","-1,400,000","1,744,560","3,699,864"
2023/9/25,1.9,東南東,1000.4,571.1,4.4,63,35.7,24.4,29.3,160.91,255.766,0.8,"480,400","1,958,400","-1,478,000","1,650,960","3,609,360"
2023/9/26,1.4,東南東,1000.6,532.4,4.7,64,36,24.1,29.2,160.76,254.5,1.8,"427,488","1,411,488","-984,000","1,543,680","2,955,168"
2023/9/27,0.9,東南東,1001.3,565.5,3.7,65,34,24,29.1,160.64,253.53,11.6,"543,760","1,688,760","-1,145,000","1,500,300","3,189,060"
2023/9/28,1,東南東,1000.9,458.8,2.6,73,34.7,23.4,27.6,160.5,252.42,1.1,"435,988","1,415,988","-980,000","1,425,600","2,841,588"
2023/9/29,1.5,東南東,1001.4,542,2.4,68,33.2,24.5,28.5,160.39,251.467,10.3,"519,276","1,416,276","-897,000","1,392,480","2,808,756"
2023/9/30,1,東南東,1002,344.6,1.7,72,33.8,24.5,27.9,160.28,250.628,0.2,"604,040","1,418,040","-814,000","1,362,960","2,781,000"
