日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2019/3/1,1.5,東南南,1006.9,650.4,2,84,25.5,16,19.2,163.19,274.78,0.2,"870,168","1,632,168","-762,000","877,320","2,509,488"
2019/3/2,1,南,1002.8,611,2.5,82,28.3,17.9,21.4,163.1,274.004,0.1,"866,500","1,795,500","-929,000","855,360","2,650,860"
2019/3/3,1,西南,1001.2,632.7,0.3,91,21,16,18,162.99,273.096,5.2,"838,600","1,344,600","-506,000","843,480","2,188,080"
2019/3/4,2.3,東南南,1006.2,557.7,2.8,79,20.2,15.9,17.2,162.89,272.213,0,"948,896","2,128,896","-1,180,000","833,760","2,962,656"
2019/3/5,2.9,東南東,1004.1,800.3,3.7,77,24.9,15.3,19.1,162.73,270.904,0.3,"779,736","2,126,736","-1,347,000","802,800","2,929,536"
2019/3/6,0.7,南,1005.3,602.9,0.2,91,21.7,14.3,16.7,162.58,269.632,8.2,"870,280","1,961,280","-1,091,000","766,800","2,728,080"
2019/3/7,1.4,東南東,1010.3,373.4,1.3,91,14.5,11.5,12.8,162.57,269.583,39,"1,764,000",0,"1,764,000","1,708,560","1,708,560"
2019/3/8,1.9,東南東,1008,71.3,2.2,91,17.6,11.4,15,162.9,272.449,22.1,"3,712,000",0,"3,712,000","3,222,360","3,222,360"
2019/3/9,0.5,南,1002.2,105.4,2.2,92,19.4,15.5,17.2,163.4,276.692,31.8,"4,756,000",0,"4,756,000","3,627,000","3,627,000"
2019/3/10,0.8,西北,1003.2,74.9,0,92,18.3,13.7,16,164.01,281.917,7.6,"4,962,000",0,"4,962,000","5,090,400","5,090,400"
2019/3/11,0.6,東,1005.3,391.2,2.2,85,17.5,13.3,15.1,164.46,285.661,0,"2,840,000",0,"2,840,000","3,589,200","3,589,200"
2019/3/12,2,東南東,1006.5,465.8,5.2,67,25.6,11.8,18.2,164.72,287.924,0.3,"1,813,000",0,"1,813,000","2,592,000","2,592,000"
2019/3/13,2.5,東南東,1009.2,512.4,4.1,70,24.4,14.2,19.1,164.9,289.441,2.7,"1,299,000",0,"1,299,000","2,197,440","2,197,440"
2019/3/14,1.1,南,1009.4,624.6,2.8,76,25.2,16.4,19.3,165.01,290.502,0.2,"1,244,332","811,332","433,000","2,004,120","2,815,452"
2019/3/15,0.3,南,1012.5,543.8,2,77,19.6,13.9,16,165,290.289,2.5,"1,133,716","2,173,716","-1,040,000","1,858,320","4,032,036"
2019/3/16,2.7,東,1010.5,754.4,4.2,55,19.8,14.4,18.3,164.85,288.961,0.1,"967,280","2,177,280","-1,210,000","1,562,400","3,739,680"
2019/3/17,0.5,東南東,1009.3,284.3,0.7,88,21.5,15.7,18.4,164.71,287.755,7.5,"1,055,936","2,178,936","-1,123,000","1,405,440","3,584,376"
2019/3/18,0.9,南,1006,419.3,1.6,84,27.5,17.4,20.5,164.59,286.712,2.9,"1,233,996","2,181,996","-948,000","1,335,240","3,517,236"
2019/3/19,1.8,東南,1006,442.1,3.1,82,23.7,18,20.2,164.48,285.797,0.3,"1,155,800","2,188,800","-1,033,000","1,274,400","3,463,200"
2019/3/20,1.1,東南南,1002.5,555.3,2.9,78,30.3,17.5,23.4,164.35,284.65,0,"984,576","2,187,576","-1,203,000","1,212,840","3,400,416"
2019/3/21,1.1,東南南,1000.7,591.1,2.9,81,33.1,19.8,24.7,164.2,283.387,0.1,"903,484","2,189,484","-1,286,000","1,171,800","3,361,284"
2019/3/22,1,南,1004.9,882.7,0.7,91,22.6,17,19.9,164.04,282.052,1.9,"823,408","2,193,408","-1,370,000","1,123,200","3,316,608"
2019/3/23,0.7,東南,1010.9,584.6,0.4,91,17.1,13.5,15,163.89,280.684,5.5,"828,488","2,194,488","-1,366,000","1,134,000","3,328,488"
2019/3/24,1.5,東,1008.8,78.5,0.8,91,18.1,13.4,15.9,163.74,279.418,5.9,"918,332","2,197,332","-1,279,000","1,297,080","3,494,412"
2019/3/25,0.4,西北北,1006.6,6.3,0.8,94,19.1,15.7,17.3,163.59,278.179,5.7,"1,011,012","2,202,012","-1,191,000","1,288,080","3,490,092"
2019/3/26,2.8,東南東,1009.5,343,7.3,80,23.3,16.6,19.4,163.45,276.939,0.3,"845,820","2,204,820","-1,359,000","1,247,760","3,452,580"
2019/3/27,0.6,東南東,1006.6,452,1.7,84,28.5,16.5,21.3,163.28,275.56,0,"852,060","2,208,060","-1,356,000","1,127,880","3,335,940"
2019/3/28,0.9,東南,1000.8,525.6,2.9,80,32.6,18.4,23.8,163.12,274.131,0,"773,372","2,211,372","-1,438,000","1,075,680","3,287,052"
2019/3/29,0.7,西南南,1000.1,537,1.1,88,27.4,18.9,22.1,162.94,272.674,7.8,"851,748","2,285,748","-1,434,000","1,019,520","3,305,268"
2019/3/30,1.3,東南,1004.9,611.5,3,84,25.7,17.2,20,162.79,271.371,2.7,"952,728","2,215,728","-1,263,000","1,198,080","3,413,808"
2019/3/31,3,東南東,1010.3,610.2,3.8,84,20,16,17.6,162.62,269.947,3.8,"701,460","2,213,460","-1,512,000","1,073,520","3,286,980"
