日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2019/12/1,0.6,南,1007.6,510.5,2.9,83,28.2,15.2,20.1,165.06,290.835,2.6,"2,168,212","346,212","1,822,000","2,347,200","2,693,412"
2019/12/2,0.2,西北,1013.2,789.7,1.6,92,18.7,12.3,14.6,165.24,292.402,4.8,"1,842,284","364,284","1,478,000","2,471,400","2,835,684"
2019/12/3,1.4,東,1014.3,516,3.9,72,16.7,11.8,14.8,165.38,293.617,0,"1,370,788","760,788","610,000","2,328,480","3,089,268"
2019/12/4,1.5,東,1015.2,373.4,5.4,73,16.8,13.7,15.6,165.45,294.191,3,"1,167,008","469,008","698,000","2,088,360","2,557,368"
2019/12/5,0.2,西北北,1015.1,489.1,6.8,93,15.1,13.4,14.2,165.56,295.195,37,"2,009,000",0,"2,009,000","2,733,120","2,733,120"
2019/12/6,0.1,西北西,1014.3,213.5,9.3,94,15.3,13.2,14.4,166.24,301.338,81.8,"12,191,248","1,885,248","10,306,000","9,338,400","11,223,648"
2019/12/7,0.1,西北北,1015.5,237.5,6.7,94,13.2,11.8,12.6,167.31,310.721,21.4,"10,887,592","4,394,592","6,493,000","10,652,400","15,046,992"
2019/12/8,0.5,東,1014.9,691.8,3.9,79,19.8,10.7,13.9,167.67,313.832,0,"5,187,468","4,383,468","804,000","6,840,000","11,223,468"
2019/12/9,1.9,東南東,1010.6,727.8,5.8,73,21.3,11.3,17.2,167.74,314.472,0,"2,876,164","2,698,164","178,000","4,835,520","7,533,684"
2019/12/10,0.6,東南,1007.1,686.3,3.5,79,24.7,13.9,18.3,167.7,314.107,0,"1,984,956","2,698,956","-714,000","3,717,000","6,415,956"
2019/12/11,1,南,1008.6,596.8,3.3,80,22.1,14.4,17.9,167.61,313.24,5.3,"1,719,188","2,701,188","-982,000","3,115,800","5,816,988"
2019/12/12,2.2,東南東,1012.5,737.4,5.2,66,21.6,14.9,17.9,167.47,312.051,0,"1,241,856","2,132,856","-891,000","2,816,640","4,949,496"
2019/12/13,1.3,東南東,1012.4,484,2.9,84,22.7,14.7,18,167.44,311.75,0.2,"945,120","1,302,120","-357,000","2,574,720","3,876,840"
2019/12/14,2,東南,1012,181.9,3.8,85,21.5,14.7,18.3,167.4,311.379,1.3,"855,752","1,300,752","-445,000","2,422,080","3,722,832"
2019/12/15,2.4,東,1010.2,585.5,4.9,73,25.1,18.3,20.9,167.35,310.915,0.3,"858,164","1,303,164","-445,000","2,341,440","3,644,604"
2019/12/16,0.9,東南,1008,582.7,3.2,80,28.2,15.1,19.9,167.29,310.37,0,"680,812","1,303,812","-623,000","2,090,880","3,394,692"
2019/12/17,0.4,東南東,1008.1,544.7,2.8,83,28.8,15.9,20.8,167.22,309.765,0.1,"685,376","1,307,376","-622,000","1,884,240","3,191,616"
2019/12/18,1.2,東南,1009.6,405,2.3,93,20.5,18,19.3,167.15,309.128,8.7,"684,260","1,306,260","-622,000","1,776,240","3,082,500"
2019/12/19,0.6,南,1010.4,767.6,1.9,92,21.8,16.5,18.6,167.08,308.566,7.3,"768,428","1,300,428","-532,000","1,722,240","3,022,668"
2019/12/20,1.4,東南南,1010.5,643.5,1.8,90,21.9,15.9,17.9,167.04,308.24,23.7,"1,395,260","1,306,260","89,000","1,746,720","3,052,980"
2019/12/21,0.6,西南,1006.9,804.3,2.3,91,23.3,17.7,19.6,167.14,309.117,1.5,"2,455,040","1,301,040","1,154,000","1,888,560","3,189,600"
2019/12/22,0.7,西南西,1005.4,730.5,2.2,91,23.2,16.3,18.8,167.21,309.725,0.4,"1,571,316","1,304,316","267,000","1,655,640","2,959,956"
2019/12/23,1.2,東南東,1007,725.4,2.9,87,21.9,16.2,18.6,167.21,309.728,0,"1,127,396","1,305,396","-178,000","1,531,800","2,837,196"
2019/12/24,0.9,南,1008.2,522.3,2.6,89,24.2,15,18.5,167.18,309.432,0.3,"931,012","1,464,012","-533,000","1,455,480","2,919,492"
2019/12/25,0.8,東南東,1005.9,690.3,3.7,82,27.4,16.3,20.3,167.12,308.873,0,"839,132","1,461,132","-622,000","1,415,520","2,876,652"
2019/12/26,0.4,南,1007.2,504.2,2.2,87,22.7,15.2,18.6,167.03,308.122,2.6,"843,084","1,464,084","-621,000","1,373,760","2,837,844"
2019/12/27,1.3,東南,1012.9,851.8,3.2,83,15.7,13,14.1,166.98,307.53,3.1,"855,940","1,742,940","-887,000","1,409,760","3,152,700"
2019/12/28,3.5,東,1010.4,597.2,8.3,70,22.3,15.5,18.5,166.9,306.643,0.7,"700,700","1,586,700","-886,000","1,346,400","2,933,100"
2019/12/29,1,東南東,1008.6,646.2,2.8,89,20.3,17.4,18.6,166.77,305.816,14.3,"832,740","1,186,740","-354,000","1,440,360","2,627,100"
2019/12/30,0.5,東北,1011,458.3,7.8,93,21.1,17.5,19.2,166.74,305.569,19.1,"1,129,728","1,306,728","-177,000","1,550,520","2,857,248"
2019/12/31,0.9,南,1018.5,543,8.4,92,17.5,12.9,14.7,166.82,306.319,17.1,"2,393,000",0,"2,393,000","2,192,400","2,192,400"
