日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2019/4/1,2.4,東南東,1012.4,269.2,2.1,91,16.5,14.6,15.4,162.46,268.597,13.9,"1,043,528","2,217,528","-1,174,000","1,333,440","3,550,968"
2019/4/2,1.7,東,1008.1,471.2,3,83,22.8,16.4,19.3,162.32,267.477,0.4,"1,130,176","2,218,176","-1,088,000","1,375,560","3,593,736"
2019/4/3,0.6,西北北,1007.7,366.1,1,89,21.6,17.7,19.5,162.19,266.323,0.3,"1,043,208","2,213,208","-1,170,000","1,320,480","3,533,688"
2019/4/4,1.3,南,1004.8,570,3,79,29.9,19,23.3,162.04,265.113,2.3,"976,752","2,227,752","-1,251,000","1,230,120","3,457,872"
2019/4/5,1,西南南,1003.6,776,1.1,87,23.6,17.3,20.3,161.89,263.859,0.3,"862,788","2,110,788","-1,248,000","1,150,920","3,261,708"
2019/4/6,1.5,東南南,1002.6,609.5,3,79,28.2,16.5,21.7,161.74,262.567,0,"787,692","2,116,692","-1,329,000","1,103,760","3,220,452"
2019/4/7,0.9,東南,1001.9,635.1,2.1,81,29.9,18.7,23.2,161.57,261.208,0,"709,860","2,119,860","-1,410,000","1,040,400","3,160,260"
2019/4/8,1.2,東南,1002.1,648.7,4,75,33,19.5,24.9,161.4,259.807,0,"718,108","2,124,108","-1,406,000","992,880","3,116,988"
2019/4/9,0.7,東南南,1000.1,677.9,2.2,80,32.3,20.3,25.3,161.23,258.347,0,"642,564","2,127,564","-1,485,000","929,520","3,057,084"
2019/4/10,1.7,南,1000.6,882.5,3.8,80,31.8,20.4,24.3,161.05,256.866,1.4,"564,040","2,129,040","-1,565,000","892,080","3,021,120"
2019/4/11,1.2,東南南,1001.7,1053,1.6,87,22.9,17.5,20.3,160.87,255.406,11.7,"706,188","1,855,188","-1,149,000","909,720","2,764,908"
2019/4/12,2.9,東南,1006.5,806.4,3.2,82,20.1,16.5,18.3,160.74,254.319,4.3,"718,096","1,866,096","-1,148,000","949,680","2,815,776"
2019/4/13,0.6,東南南,1005.1,753.9,0.9,86,26.5,17.6,20.8,160.6,253.207,11.8,"805,472","1,868,472","-1,063,000","1,173,960","3,042,432"
2019/4/14,0.8,西,1005,720.8,2.4,85,27.9,18.9,21.8,160.47,252.137,4.9,"796,032","1,858,032","-1,062,000","1,028,520","2,886,552"
2019/4/15,1.5,東南東,1006.5,595.8,2.6,87,19.6,17.2,18.1,160.35,251.127,6.4,"796,340","1,856,340","-1,060,000","1,201,680","3,058,020"
2019/4/16,0.7,西南西,1002.5,194.7,2.6,92,20.7,17.4,18.7,160.29,250.679,32.1,"2,360,784","1,871,784","489,000","1,686,600","3,558,384"
2019/4/17,0.7,西南南,1002.2,660.1,4.3,76,28,18.2,21.5,160.36,251.256,0.4,"2,109,548","1,864,548","245,000","1,833,840","3,698,388"
2019/4/18,0.7,東南,1001.3,669.3,4.1,77,30.7,17.7,23.6,160.34,251.113,0,"1,457,988","1,865,988","-408,000","1,425,600","3,291,588"
2019/4/19,0.5,東南,999.6,572.7,0.8,85,29.5,20.4,23.3,160.28,250.604,5.7,"1,229,928","1,880,928","-651,000","1,332,000","3,212,928"
2019/4/20,0.8,西北西,998.7,608.3,2.2,85,30.1,20.6,24.1,160.18,249.807,4.9,"1,053,860","1,867,860","-814,000","1,305,000","3,172,860"
2019/4/21,0.5,東南南,998.8,592.7,2.7,86,30.7,21.9,24.8,160.17,249.715,24.2,"2,084,456","1,596,456","488,000","1,964,160","3,560,616"
2019/4/22,0.6,東南東,999.5,715.3,2.7,84,32.9,21.9,25.6,160.18,249.817,6.5,"1,507,644","1,588,644","-81,000","1,619,640","3,208,284"
2019/4/23,0.6,東南南,999.2,764.9,3.9,78,35.2,22.3,27.4,160.16,249.604,0,"1,179,988","1,586,988","-407,000","1,528,560","3,115,548"
2019/4/24,0.5,南,998.6,854.6,3.3,77,35.3,22.8,27.9,160.1,249.13,0,"982,520","1,550,520","-568,000","1,390,320","2,940,840"
2019/4/25,0.7,西南,998.1,1056.5,3.6,75,35.8,22.6,27.7,160.02,248.476,0.5,"859,048","1,590,048","-731,000","1,283,040","2,873,088"
2019/4/26,1.2,西,1001.9,1335.2,3.1,78,31.2,23.3,26.2,159.92,247.699,1.6,"860,552","1,590,552","-730,000","1,218,240","2,808,792"
2019/4/27,1.6,東南東,1004.6,1603.4,2.3,88,24.5,22.2,22.9,159.82,246.858,18,"782,164","1,591,164","-809,000","1,233,360","2,824,524"
2019/4/28,0.7,東南,1003.2,1259.5,1.4,86,28.6,21.3,24,159.8,246.743,1.2,"1,915,172","1,592,172","323,000","1,356,480","2,948,652"
2019/4/29,0.7,東南,1000.8,1139.7,3.6,78,33.3,20.7,25.8,159.8,246.723,0,"1,190,080","1,594,080","-404,000","1,184,400","2,778,480"
2019/4/30,0.9,南,997.1,1213.2,3.1,80,34,22.1,26.3,159.74,246.174,6.2,"1,028,332","1,594,332","-566,000","1,112,760","2,707,092"
