日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2024/9/1,0.9,東,997.6,532.4,6,74,36.9,24,29.7,160.43,286.124,0,"423,320","1,417,284","-993,964","1,687,680","3,104,964"
2024/9/2,1.3,東南東,997.6,543.3,7.1,69,37.8,24.4,29.9,160.3,285.062,0,"426,904","1,418,904","-992,000","1,576,080","2,994,984"
2024/9/3,2.5,東,996.2,375.2,4.4,71,33.4,23.7,28.6,160.18,284.077,1.4,"348,452","1,420,452","-1,072,000","1,447,200","2,867,652"
2024/9/4,3,東南東,992.9,551.3,6.4,67,34.4,25.4,30.4,160.06,283.029,0.6,"351,864","1,422,864","-1,071,000","1,408,320","2,831,184"
2024/9/5,3.3,東南東,993,514.7,5.8,66,34.6,28.2,31.1,159.93,281.944,2.6,"353,368","1,423,368","-1,070,000","1,395,360","2,818,728"
2024/9/6,2.1,東,996.6,501.7,5.7,71,35.3,26.2,30.7,159.78,280.765,0.1,"519,764","1,423,764","-904,000","1,343,520","2,767,284"
2024/9/7,0.4,東南東,1000.9,241.2,0.8,86,33.8,25.4,27.7,159.68,279.93,7.6,"524,032","1,426,032","-902,000","1,378,800","2,804,832"
2024/9/8,0.6,東,999.8,389.5,3,81,33.7,24.6,28.1,159.59,279.175,6.3,"526,400","1,427,400","-901,000","1,509,840","2,937,240"
2024/9/9,1.2,東南,997.3,511.7,4.5,71,35.4,24.3,28.9,159.46,278.107,0.1,"447,992","1,429,992","-982,000","1,394,640","2,824,632"
2024/9/10,0.7,西北北,996.5,370.6,1.7,78,34.4,22.7,27.4,159.34,277.132,0.7,"371,152","1,432,152","-1,061,000","1,264,320","2,696,472"
2024/9/11,0.8,北,998,497.8,5.3,73,38.1,23.7,29,159.21,276.112,0,"349,876","1,572,876","-1,223,000","1,250,640","2,823,516"
2024/9/12,1.9,東,997.8,373.7,4,73,35,24,28.6,159.06,274.863,0.1,"380,508","1,436,508","-1,056,000","1,217,160","2,653,668"
2024/9/13,2.1,東南東,994.9,506,2.5,69,35.1,25.3,29.3,158.92,273.689,7.2,"317,744","1,857,744","-1,540,000","1,128,960","2,986,704"
2024/9/14,0.6,東南南,991.4,288.4,0.2,83,31.6,23.2,25.9,158.74,272.275,7.9,"448,248","1,579,248","-1,131,000","1,124,640","2,703,888"
2024/9/15,0.7,南,991.7,486.3,2.4,75,37.5,22.5,28.6,158.6,271.104,0.1,"290,608","1,579,608","-1,289,000","1,042,560","2,622,168"
2024/9/16,2.4,東,994.2,474.5,1.4,75,34.6,23.6,28.8,158.43,269.769,10.7,"420,888","1,866,888","-1,446,000","1,007,280","2,874,168"
2024/9/17,3.3,東南東,996,507.3,3.5,67,34.5,26.6,29.9,158.31,268.844,17.6,"1,124,976","1,445,976","-321,000","1,565,280","3,011,256"
2024/9/18,1.3,東南,994.7,373.9,0.7,79,33.6,24.9,27.9,158.24,268.279,11.8,"805,336","1,446,336","-641,000","1,373,040","2,819,376"
2024/9/19,0.3,西南南,993.6,303.4,0.9,84,34.9,24.3,27.5,158.17,267.692,3.5,"808,676","1,448,676","-640,000","1,229,040","2,677,716"
2024/9/20,0.6,東南東,995.3,312.7,2.7,78,34.1,24.8,28.5,158.06,266.789,0.1,"570,216","1,449,216","-879,000","1,121,760","2,570,976"
2024/9/21,0,西南南,994.1,128.6,0.4,88,28.5,24.4,26.2,157.95,265.911,19.7,"798,260","1,594,260","-796,000","1,092,960","2,687,220"
2024/9/22,0.1,西南西,998.6,128.6,1.8,91,27.1,24.4,25.4,158.24,268.968,243.9,"20,403,260","572,292","19,830,968","8,200,080","8,772,372"
2024/9/23,0.1,東北東,1002.5,223.5,5.2,85,31.6,24.2,26.3,162.68,305.4,47.8,"30,879,324","1,480,320","29,399,004","12,674,880","14,155,200"
2024/9/24,0.2,北,1001.8,292.2,3.1,84,33.2,24,27.1,164.09,317.307,26.2,"10,149,955","2,460,960","7,688,995","9,777,600","12,238,560"
2024/9/25,0.3,北,1001,269.7,4.1,83,32.3,24.3,26.9,164.45,320.273,2.3,"7,311,656","8,353,656","-1,042,000","5,691,600","14,045,256"
2024/9/26,0.1,北,1000.7,137.9,2.2,87,28.6,23.7,25.5,163.96,315.916,4,"4,722,424","10,853,424","-6,131,000","3,888,000","14,741,424"
2024/9/27,0.3,東北,999.6,276.7,3.8,84,32.9,23,26,163.18,309.218,30.3,"4,202,216","10,881,216","-6,679,000","3,240,000","14,121,216"
2024/9/28,0.1,東南,999.8,139.3,4.4,88,28.3,22.7,24.6,162.51,303.52,23.7,"5,973,012","10,905,012","-4,932,000","3,179,160","14,084,172"
2024/9/29,2.3,東南東,998,252.1,4.3,83,28.8,23.5,25.8,161.82,297.52,27,"8,092,980","17,785,980","-9,693,000","4,269,600","22,055,580"
2024/9/30,3.5,東南東,994.7,175.6,6.3,81,28.4,24.6,26.1,160.24,284.4,82.3,"15,512,839","26,452,836","-10,939,997","17,928,000","44,380,836"
