日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2024/1/1,2.8,東南東,1012.6,100.7,2.6,65,16.9,13.8,15.7,168.04,352.041,0,"1,212,992","1,843,992","-631,000","1,512,000","3,355,992"
2024/1/2,1.8,東,1008,338.3,2,71,24,12.1,17.1,167.96,351.342,0,"1,023,560","1,564,560","-541,000","1,497,600","3,062,160"
2024/1/3,0.6,西,1011.2,35.1,3.8,86,15.8,9.8,13.5,167.89,350.764,3.2,"936,036","1,566,036","-630,000","1,508,400","3,074,436"
2024/1/4,1.6,東,1011.3,106.2,2.1,72,17.1,9.5,14,167.82,350.148,0,"838,224","1,288,224","-450,000","1,491,120","2,779,344"
2024/1/5,0.8,東南,1010,348.5,1.5,75,24.6,11.2,16.5,167.76,349.586,0,"758,952","1,568,952","-810,000","1,404,000","2,972,952"
2024/1/6,0.6,西南,1010.9,335.9,1.7,75,24.6,12.1,16.9,167.67,348.746,0,"721,172","1,709,172","-988,000","1,346,400","3,055,572"
2024/1/7,1,東南東,1013.6,58.3,1.1,69,16.9,15.2,16.1,167.56,347.754,0,"673,724","1,571,724","-898,000","1,301,760","2,873,484"
2024/1/8,1.9,東,1010,159,2,70,21.4,15.8,17.9,167.46,346.808,0.1,"597,848","1,852,848","-1,255,000","1,274,400","3,127,248"
2024/1/9,0.3,北,1007.2,162.5,0.2,82,21.5,15.3,17.3,167.32,345.612,0.4,"728,888","1,713,888","-985,000","1,220,400","2,934,288"
2024/1/10,0.1,北,1010.5,42.2,0.2,86,15.6,8.2,13.5,167.2,344.512,1.1,"603,772","1,856,772","-1,253,000","1,229,040","3,085,812"
2024/1/11,1.3,東,1011,334,1.6,71,18.5,7.7,12.2,167.06,343.241,0,"571,268","2,000,268","-1,429,000","1,136,880","3,137,148"
2024/1/12,0.8,東南,1009.2,321.8,1.4,75,23.6,9.4,15,166.9,341.812,0.1,"522,300","1,860,300","-1,338,000","1,090,800","2,951,100"
2024/1/13,2.4,東南東,1010.7,396.7,2.9,68,23.5,11.8,17.1,166.75,340.489,0,"581,172","2,006,172","-1,425,000","1,071,360","3,077,532"
2024/1/14,1.2,東南東,1010.8,313.5,1.7,69,25.2,14.1,18.5,166.58,339.02,0,"495,036","2,007,036","-1,512,000","1,033,200","3,040,236"
2024/1/15,0.3,東南南,1013.4,82.9,0.1,86,18.3,13,15.3,166.43,337.619,24.9,"715,012","1,869,012","-1,154,000","1,034,640","2,903,652"
2024/1/16,2,東南東,1014.4,141.1,1.3,77,17.9,14.3,15.9,166.32,336.687,3.4,"983,164","1,870,164","-887,000","1,228,320","3,098,484"
2024/1/17,1.9,東,1010.3,242.2,2.7,68,24.3,15.9,19.1,166.21,335.682,0.2,"808,892","1,871,892","-1,063,000","1,144,080","3,015,972"
2024/1/18,0.7,東南,1007.1,321.7,14.1,69,27.3,16.5,21.1,166.08,334.538,0,"817,268","2,144,268","-1,327,000","1,046,880","3,191,148"
2024/1/19,1.5,東南東,1006.6,374.1,15.6,76,28.8,13.2,19.8,165.92,333.085,0,"651,844","2,153,844","-1,502,000","1,013,040","3,166,884"
2024/1/20,0.6,南,1006.4,218.9,6.6,82,26.3,15.4,18.9,165.74,331.58,2.2,"615,836","2,026,836","-1,411,000","969,120","2,995,956"
2024/1/21,0,西南西,1012.8,40.7,0.2,89,16.6,13.3,14.3,165.59,330.264,13.4,"681,872","1,738,872","-1,057,000","1,082,160","2,821,032"
2024/1/22,0.3,西,1015.6,78.8,0,91,13.9,8.7,12.2,165.51,329.556,30.1,"1,577,028","1,313,028","264,000","1,355,400","2,668,428"
2024/1/23,0.4,西北西,1019.6,19.7,1.7,87,8.8,5.9,7.3,165.74,331.672,24.7,"4,148,000",0,"4,148,000","2,651,400","2,651,400"
2024/1/24,1.1,東,1019.1,53.9,2.5,79,10.8,7.2,9.1,166.11,334.929,0.8,"2,463,332","604,332","1,859,000","1,941,120","2,545,452"
2024/1/25,0,西北西,1018.2,27.9,0.3,93,11.8,9.5,10.6,166.26,336.247,4.5,"1,626,656","739,656","887,000","1,625,040","2,364,696"
2024/1/26,0.4,東北北,1017.7,72.6,1.6,84,13.6,10,11.7,166.33,336.846,0.9,"1,396,952","1,307,952","89,000","1,512,360","2,820,312"
2024/1/27,0.6,東,1016.3,45.9,0.6,82,14.1,12.1,12.8,166.32,336.746,1.3,"1,038,532","1,304,532","-266,000","1,470,240","2,774,772"
2024/1/28,0.9,東北東,1017.8,60.9,0.9,79,13.3,11.1,12.3,166.29,336.472,1.5,"1,054,340","1,586,340","-532,000","1,396,800","2,983,140"
2024/1/29,1.9,東,1013.3,351.1,4.6,77,24.1,12.7,17.7,166.23,335.914,2.9,"1,003,588","1,446,588","-443,000","1,389,600","2,836,188"
2024/1/30,0.7,東北北,1011.7,241.8,1.4,88,22.1,13.7,17.1,166.17,335.349,0,"934,168","1,731,168","-797,000","1,308,240","3,039,408"
2024/1/31,0.3,東南東,1010,217,1.9,86,26.5,16.9,20.1,166.07,334.493,0.1,"847,464","1,732,464","-885,000","1,262,160","2,994,624"
