日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2024/2/1,0.6,東南東,1008.5,320.1,2.6,79,30.8,16.5,21.4,165.97,333.557,0,"724,484","1,874,484","-1,150,000","1,187,280","3,061,764"
2024/2/2,0.3,西北,1009.8,338.5,0.7,88,21.4,17.3,19,165.84,332.459,3.8,"817,140","1,876,140","-1,059,000","1,149,120","3,025,260"
2024/2/3,0.7,西南,1009.6,278.7,1.1,85,25.6,17.3,19.8,165.72,331.399,3.8,"766,244","1,736,244","-970,000","1,165,680","2,901,924"
2024/2/4,1.4,東南南,1007.6,222.4,1.2,80,25.6,14.2,19.8,165.62,330.451,6.8,"875,716","2,020,716","-1,145,000","1,119,600","3,140,316"
2024/2/5,2.5,東南東,1010.9,119.4,1.5,79,19.1,14.4,16.4,165.5,329.424,1.4,"1,007,076","1,886,076","-879,000","1,095,840","2,981,916"
2024/2/6,2.7,東南東,1010.1,111.7,3.5,79,17.9,16,16.8,165.39,328.45,2.2,"889,112","2,030,112","-1,141,000","1,059,840","3,089,952"
2024/2/7,0.6,西南西,1008.8,138.6,2.5,86,18.2,12.6,15.1,165.25,327.283,18.4,"1,097,760","1,886,760","-789,000","1,057,680","2,944,440"
2024/2/8,0.4,西南南,1009.3,125.7,5,86,14.1,12.2,12.8,165.33,328.099,30,"3,337,000",0,"3,337,000","1,819,440","1,819,440"
2024/2/9,0.2,西,1013.6,163.4,2.5,88,12.3,10.7,11.4,165.8,332.199,17.3,"4,504,000",0,"4,504,000","2,363,400","2,363,400"
2024/2/10,0.4,東北東,1016.6,147.1,1.5,77,15.8,10.1,12.2,166.24,336.037,0,"3,014,000",0,"3,014,000","2,035,800","2,035,800"
2024/2/11,1.4,東北東,1018,469.2,3.6,65,21.7,7.8,13.5,166.5,338.356,0,"1,867,000",0,"1,867,000","1,614,600","1,614,600"
2024/2/12,2.6,東,1016.3,463.9,3.5,63,22.7,10.1,16,166.65,339.631,0,"1,326,496","881,496","445,000","1,521,360","2,402,856"
2024/2/13,0.8,東南東,1013.4,443,2.4,67,26.7,11.1,17.3,166.68,339.961,0,"1,147,776","880,776","267,000","1,470,960","2,351,736"
2024/2/14,0.7,東南,1010.7,466.2,2.1,71,28.2,10.7,17.6,166.69,339.995,0,"948,100","1,304,100","-356,000","1,365,840","2,669,940"
2024/2/15,1,東南南,1009.1,409.9,2.2,66,30,12.7,19.5,166.65,339.613,0.2,"875,060","1,587,060","-712,000","1,296,360","2,883,420"
2024/2/16,0.8,南,1011.5,477,0.4,81,16.7,13.8,15.2,166.56,338.875,3.6,"734,156","1,446,156","-712,000","1,233,360","2,679,516"
2024/2/17,1,南,1007.6,374.9,2,76,25.4,14.9,18.8,166.49,338.167,1.2,"840,540","1,728,540","-888,000","1,164,960","2,893,500"
2024/2/18,0.6,東南,1006.4,422.5,2.8,73,29,15.8,20.9,166.38,337.164,0.3,"682,048","2,013,048","-1,331,000","1,114,560","3,127,608"
2024/2/19,0.8,東南,1005.9,443,4.2,72,31.8,17.8,23,166.23,335.877,0.2,"720,288","1,872,288","-1,152,000","1,064,880","2,937,168"
2024/2/20,0.6,東南東,1006.1,334.8,3.1,76,30.9,19.4,23.2,166.09,334.648,0,"600,216","2,016,216","-1,416,000","1,017,360","3,033,576"
2024/2/21,0.5,東南南,1005.8,306.3,2.2,76,29.3,19.6,23.3,165.94,333.277,0,"691,116","2,017,116","-1,326,000","968,400","2,985,516"
2024/2/22,1.7,東南,1009.1,116.8,2.6,79,22.9,16.5,19.7,165.78,331.841,1.7,"611,192","2,022,192","-1,411,000","938,880","2,961,072"
2024/2/23,2.3,東南,1012.9,171.8,2.2,74,18.7,13.8,15.8,165.61,330.433,3.2,"615,136","2,024,136","-1,409,000","894,960","2,919,096"
2024/2/24,1.8,南,1012.1,165.4,1.6,77,20.1,14.6,16.1,165.45,328.97,1.4,"533,368","2,026,368","-1,493,000","889,920","2,916,288"
2024/2/25,1.9,東南南,1012.7,111.2,1.3,80,15.3,11,13.3,165.29,327.542,1.5,"673,752","2,164,752","-1,491,000","867,600","3,032,352"
2024/2/26,1.2,南,1013.5,45.2,0.7,81,13.8,11.2,12.3,165.1,325.957,3.8,"494,176","1,894,176","-1,400,000","838,080","2,732,256"
2024/2/27,0.4,西南南,1012.8,66.9,0.1,86,14.2,12,13.1,164.96,324.71,8.2,"863,752","2,173,752","-1,310,000","840,960","3,014,712"
2024/2/28,1.2,南,1008.9,303.7,1.3,78,24.5,14.1,17.3,164.81,323.338,0,"733,776","2,041,776","-1,308,000","838,800","2,880,576"
2024/2/29,1.3,西南南,1008.2,317.2,1.8,82,27.9,14.6,17.7,164.66,322.038,0.5,"737,424","2,042,424","-1,305,000","797,040","2,839,464"
