日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2024/5/1,0.5,東南南,1000,152.8,2.8,92,27,19.8,22.3,155.61,247.717,10.7,"1,028,500","1,714,500","-686,000","944,640","2,659,140"
2024/5/2,0.7,東南,1004.1,136.3,4.1,92,23.5,19.6,20.8,155.55,247.235,6.4,"1,109,372","1,869,372","-760,000","1,074,240","2,943,612"
2024/5/3,2.7,東南東,1003.5,576,4,88,28.8,19,23.4,155.45,246.487,0.1,"869,156","1,401,156","-532,000","999,360","2,400,516"
2024/5/4,0.7,東南,1000.7,412.5,7.6,88,31.8,20.8,24.9,155.37,245.854,1.4,"880,816","1,866,816","-986,000","910,080","2,776,896"
2024/5/5,0.2,東南東,999.9,284.6,2.4,87,31.1,21.9,25.3,155.23,244.862,0,"797,336","1,554,336","-757,000","836,640","2,390,976"
2024/5/6,0.5,東北,1002.8,436.1,0.7,76,29.8,23.2,25.7,155.12,244.002,0,"734,772","2,018,772","-1,284,000","778,320","2,797,092"
2024/5/7,2,東南東,1003.8,471.4,1.5,66,30.9,22.1,25.7,154.96,242.739,0,"739,252","2,016,252","-1,277,000","724,320","2,740,572"
2024/5/8,2.6,東南東,1005.1,469.1,1.4,64,29.5,20.3,24.6,154.78,241.394,0.1,"672,460","2,168,460","-1,496,000","684,720","2,853,180"
2024/5/9,3.1,東南東,1007.4,642,1.6,58,27,17.9,22.5,154.56,239.744,0,"680,696","2,319,696","-1,639,000","649,440","2,969,136"
2024/5/10,1.8,東南東,1005.4,620.3,1.6,66,30.6,19.4,24.7,154.32,238.002,0,"659,316","2,438,316","-1,779,000","604,080","3,042,396"
2024/5/11,0.7,東南,1003.9,376.3,1.2,73,32.4,20.5,25.1,154.1,236.35,0,"492,876","2,409,876","-1,917,000","560,880","2,970,756"
2024/5/12,0.7,東南南,1001.2,400.9,1.8,72,33.7,21.6,26.5,153.88,234.754,14.4,"631,648","2,097,648","-1,466,000","552,240","2,649,888"
2024/5/13,0.3,南,1004.2,57.4,2.2,82,22.9,16.8,19,153.7,233.404,9.4,"726,104","1,822,104","-1,096,000","650,160","2,472,264"
2024/5/14,0.3,東南南,1004.4,91.1,1.8,84,20.5,16.9,18.8,153.57,232.473,15,"1,011,508","1,958,508","-947,000","640,800","2,599,308"
2024/5/15,1.4,東南南,1005.4,656.3,4,64,29.4,15.6,22,153.41,231.325,0,"658,052","1,964,052","-1,306,000","645,840","2,609,892"
2024/5/16,2.4,東,1006.5,601.8,6,64,27.2,14.2,20.8,153.22,229.95,0,"450,984","1,968,984","-1,518,000","617,760","2,586,744"
2024/5/17,0.8,東,1002.4,325.4,2.4,73,29.1,19.1,23.2,152.98,228.169,0,"549,280","2,276,280","-1,727,000","597,600","2,873,880"
2024/5/18,1.4,東南東,1000,546.7,4.9,70,31.8,18.2,24.7,152.73,226.387,0,"492,148","2,282,148","-1,790,000","570,240","2,852,388"
2024/5/19,1.3,東南東,998.7,385.6,3.4,73,31.6,21.7,25.3,152.49,224.701,0,"423,280","2,132,280","-1,709,000","547,200","2,679,480"
2024/5/20,1.3,東南東,999.1,262.4,3,74,29.8,23,25.9,152.24,222.875,10.7,"442,236","2,284,236","-1,842,000","574,560","2,858,796"
2024/5/21,0.2,南,1000,208.5,4.8,83,29.8,23.2,25.3,152.36,223.732,127.7,"9,333,176","1,543,176","7,790,000","1,195,920","2,739,096"
2024/5/22,0.2,西南南,1000.2,118.7,1.7,84,26.9,22.8,24.2,153.91,234.963,2.2,"8,746,584","478,584","8,268,000","1,917,720","2,396,304"
2024/5/23,0.3,南,1000.1,141.1,8.6,83,26.9,22.4,24.4,154.44,238.956,16.3,"3,135,420","1,650,420","1,485,000","1,269,360","2,919,780"
2024/5/24,0.1,東南,1001.5,142.6,2.1,84,27.8,23.2,24.7,154.69,240.756,29.6,"4,500,164","1,060,164","3,440,000","1,447,200","2,507,364"
2024/5/25,0.3,東南東,1001.1,212.4,0.8,81,30.9,23.1,23.8,155.37,245.907,1.7,"6,002,816","471,816","5,531,000","1,894,320","2,366,136"
2024/5/26,0.2,東北,998.9,285.3,1.3,80,32,23.2,26.1,155.84,249.458,18.2,"3,035,996","1,047,996","1,988,000","1,553,040","2,601,036"
2024/5/27,0.3,東北東,993.5,311.4,1.9,81,32,22.9,26.3,156.09,251.395,8.3,"3,109,692","1,189,692","1,920,000","1,224,000","2,413,692"
2024/5/28,0.4,東南南,995.5,65.4,6.9,83,24.8,20.5,22.5,156.29,252.95,11.2,"2,575,936","1,188,936","1,387,000","1,225,440","2,414,376"
2024/5/29,2.6,東南東,998.5,436.1,5,71,24.8,20.5,24.5,156.43,254.076,0,"2,026,136","1,331,136","695,000","1,127,520","2,458,656"
2024/5/30,0.1,東,999,294.6,0.7,82,29.2,24.7,26.5,156.49,254.496,0.3,"1,616,400","1,616,400",0,"1,067,760","2,684,160"
2024/5/31,0.3,東北東,1000.3,270.4,8.1,79,33,24.1,27.4,156.48,254.402,9.5,"1,538,896","1,615,896","-77,000","1,108,800","2,724,696"
