日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2024/6/1,0.2,東北北,1001.1,181.4,5.3,83,32.1,24.1,26.3,156.51,254.622,31.5,"2,479,976","1,472,976","1,007,000","1,150,560","2,623,536"
2024/6/2,0.4,東南南,998.5,107.5,6.2,84,25.7,20.2,23.2,156.7,256.17,26.3,"3,412,312","1,470,312","1,942,000","1,298,880","2,769,192"
2024/6/3,0,西北,1000.4,174.4,7.7,78,25.2,18.4,21,157.09,259.232,2.2,"4,744,104","1,462,104","3,282,000","2,039,040","3,501,144"
2024/6/4,1.3,東,1001.6,134.8,2.2,70,25.7,18.1,22.8,157.38,261.416,0,"2,873,692","1,459,692","1,414,000","1,784,880","3,244,572"
2024/6/5,0.2,東,1001.8,126.4,0.4,81,26.6,21.9,23.4,157.5,262.4,6.5,"2,010,360","1,458,360","552,000","1,460,160","2,918,520"
2024/6/6,0.3,西北北,1000.6,113.7,2.9,85,25.1,22.1,22.9,157.56,262.834,6.4,"1,773,324","1,458,324","315,000","1,333,440","2,791,764"
2024/6/7,0.2,西北,998.5,221.3,1.5,82,28.1,22.2,24.9,157.57,262.887,2.5,"1,377,236","1,456,236","-79,000","1,282,680","2,738,916"
2024/6/8,0.3,西北,997.9,303.3,2.3,79,32.1,23.6,26.5,157.55,262.723,0.4,"1,219,840","1,455,840","-236,000","1,426,680","2,882,520"
2024/6/9,0.3,東北北,999.5,290.3,6.5,81,31.2,24.1,26.7,157.51,262.492,19,"1,532,184","1,454,184","78,000","1,467,000","2,921,184"
2024/6/10,0.2,東南東,999,357,2.4,77,33.5,24.1,28,157.54,262.686,0.1,"1,457,280","1,457,280",0,"1,428,840","2,886,120"
2024/6/11,0.1,東,996.8,444.2,3.2,73,35.1,24.4,29,157.51,262.43,0,"1,064,576","1,458,576","-394,000","1,283,040","2,741,616"
2024/6/12,0.1,東,994.7,366.3,0.2,77,34.3,26.1,28.9,157.46,262.013,0,"987,116","1,459,116","-472,000","1,206,000","2,665,116"
2024/6/13,0.3,東,994.2,425.5,1.1,76,34.9,24.9,29,157.38,261.451,0.2,"834,364","1,463,364","-629,000","1,146,960","2,610,324"
2024/6/14,0.5,東,994.1,303,0.7,81,32.1,24.9,27.5,157.3,260.77,4.9,"883,252","1,746,252","-863,000","1,110,960","2,857,212"
2024/6/15,0.2,東南東,995.5,342.9,0.7,79,35.2,24.5,28.6,157.18,259.845,0.6,"667,140","1,606,140","-939,000","1,077,840","2,683,980"
2024/6/16,0.4,東南,998,308.9,0.7,81,34.5,24.8,27.9,157.08,259.039,15.9,"1,074,524","1,465,524","-391,000","1,092,240","2,557,764"
2024/6/17,0.2,東北北,997.4,322.6,5.3,83,35,24.4,27.9,157.04,258.759,9.3,"1,075,344","1,465,344","-390,000","1,128,240","2,593,584"
2024/6/18,0.1,東北東,998,197.1,6.8,85,32,24.9,27.3,156.98,258.281,9.1,"1,140,776","1,609,776","-469,000","1,194,120","2,803,896"
2024/6/19,0.3,北,997.6,381.4,5.4,82,35.3,24.5,27.6,156.96,258.131,13.6,"1,699,632","1,465,632","234,000","1,135,800","2,601,432"
2024/6/20,0.1,東北,996.5,469,6.2,80,36.1,24.6,28.8,156.93,257.9,0,"1,245,180","1,323,180","-78,000","1,080,720","2,403,900"
2024/6/21,0.4,北,996.5,406.2,5.1,82,37,25.8,28.6,156.97,258.196,7.5,"1,466,100","1,466,100",0,"1,508,040","2,974,140"
2024/6/22,0.4,北,996.9,550.2,7.1,78,37.9,25.2,30.1,156.95,258.079,0,"1,076,604","1,466,604","-390,000","1,555,200","3,021,804"
2024/6/23,0.5,東北北,998.1,384.3,6.2,83,36.7,24.4,28.2,156.89,257.604,4.7,"1,000,720","1,467,720","-467,000","1,934,280","3,402,000"
2024/6/24,0.4,東南,999.7,457.4,5.8,81,36.8,24.2,27.6,156.85,257.289,17.4,"1,623,404","1,468,404","155,000","1,668,600","3,137,004"
2024/6/25,0.4,東南東,1001.4,425.8,5.9,82,35.9,23.7,27.3,156.87,257.438,5.6,"1,391,368","1,468,368","-77,000","1,623,600","3,091,968"
2024/6/26,0.1,東北東,1003.1,404.6,6.8,81,35.2,23.7,28.2,156.86,257.315,0,"1,078,188","1,468,188","-390,000","1,447,200","2,915,388"
2024/6/27,0.4,東北,1002.2,585,5.9,74,36.2,25.1,30.1,156.78,256.747,0,"769,268","1,469,268","-700,000","1,349,280","2,818,548"
2024/6/28,0.4,東北北,1000.7,422.2,7.1,82,36.2,24.3,27.8,156.7,256.118,13.3,"1,080,872","1,468,872","-388,000","1,334,160","2,803,032"
2024/6/29,0.2,東北,998.9,435.1,6.3,81,35.4,23.5,28,156.63,255.588,1.4,"696,968","1,471,968","-775,000","1,270,080","2,742,048"
2024/6/30,0.3,東北,997.8,399.9,5.2,83,34.5,25.3,28.3,156.54,254.883,12.2,"931,480","1,473,480","-542,000","1,154,160","2,627,640"
