日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/8/1,0.2,東北,988.2,316.3,0.4,84,30.7,24.3,27.3,166.01,299.192,0.8,"2,898,000",0,"2,898,000","7,221,600","7,221,600"
2021/8/2,0.3,北,988.4,1004.2,0.6,86,31.7,24.5,26.6,166.27,301.464,11.9,"2,113,000",0,"2,113,000","6,181,200","6,181,200"
2021/8/3,0.3,東北,989,201,7.6,89,30.9,24.3,25.9,166.56,304.092,55.7,"5,562,932","1,318,932","4,244,000","10,087,200","11,406,132"
2021/8/4,0.4,東,990.2,268.8,3.4,83,32.7,24.4,27.2,166.95,307.423,12.8,"7,180,860","6,736,860","444,000","12,916,800","19,653,660"
2021/8/5,0.2,東南,989.3,828.9,0.8,86,31.8,24.1,26.9,166.82,306.226,1.8,"4,443,832","6,746,832","-2,303,000","10,364,400","17,111,232"
2021/8/6,0.1,東北北,988.1,719.1,0.5,91,27.1,24.4,25.4,166.48,303.202,7.3,"3,322,904","6,764,904","-3,442,000","7,084,800","13,849,704"
2021/8/7,1.1,西北北,988.3,160.4,0.1,90,26.3,23.7,24.6,166.32,302.001,86.5,"10,782,856","6,632,856","4,150,000","12,589,200","19,222,056"
2021/8/8,0.7,東北,994.6,399.1,1.5,78,34.9,23.2,28.1,166.96,307.579,14.1,"9,395,312","6,735,312","2,660,000","12,369,600","19,104,912"
2021/8/9,0.3,東南,996.9,633.1,1.4,85,33.2,24.9,27.6,166.97,307.556,5.9,"4,961,716","6,736,716","-1,775,000","8,071,200","14,807,916"
2021/8/10,0.4,東南,998,1343.6,0.4,84,32.7,24.1,27.2,166.69,305.109,5.2,"4,166,360","6,732,360","-2,566,000","9,118,800","15,851,160"
2021/8/11,0.4,東南,999.5,1196.8,0.6,82,34.9,24.4,27.6,166.65,304.784,7.9,"2,862,748","2,420,748","442,000","9,745,200","12,165,948"
2021/8/12,0.3,東南東,999.2,741,1.5,81,35.1,24.2,27.7,166.68,304.983,4.5,"2,351,396","2,439,396","-88,000","7,570,800","10,010,196"
2021/8/13,0.4,東南南,996.9,1275.6,3.4,85,34.8,24.4,27,166.59,304.169,17.6,"2,644,472","3,263,472","-619,000","7,099,200","10,362,672"
2021/8/14,0.4,南,997.4,1155.4,1.7,81,35,24.1,27.9,166.6,304.242,1.2,"2,087,260","2,440,260","-353,000","5,914,800","8,355,060"
2021/8/15,0.2,東南東,1001,497.7,1.5,82,32.3,24.8,27.9,166.46,303.025,1.8,"1,699,764","3,286,764","-1,587,000","4,914,000","8,200,764"
2021/8/16,0.4,北,1002.5,784.1,1.2,81,35.8,24.7,28.4,166.26,301.277,4.8,"1,618,652","3,290,652","-1,672,000","4,741,200","8,031,852"
2021/8/17,0.4,北,1000.5,456.8,2.5,77,35.7,24.6,28.3,166.08,299.639,28.1,"1,893,032","3,298,032","-1,405,000","5,896,800","9,194,832"
2021/8/18,0.3,東,999.2,927.1,1.6,84,33.1,23.4,26.1,165.95,298.658,21.6,"4,676,980","4,150,980","526,000","8,384,400","12,535,380"
2021/8/19,0.3,東北東,999.5,488.8,6,85,34.5,23.1,25.8,166.05,299.5,15.6,"4,886,328","4,271,328","615,000","10,234,800","14,506,128"
2021/8/20,0,東南東,1000,665.5,3.7,79,35.1,22.9,27.2,166.08,299.697,1,"3,224,576","5,567,832","-2,343,256","8,344,800","13,912,632"
2021/8/21,0.1,東南東,999.1,755.2,4,78,34.9,23.6,28.1,165.91,298.238,0,"2,211,512","4,141,512","-1,930,000","6,058,800","10,200,312"
2021/8/22,0.4,東南,997.6,1071.1,2.5,80,35.6,24.5,28.2,165.66,296.025,0,"1,767,840","4,128,840","-2,361,000","4,820,400","8,949,240"
2021/8/23,0.2,東北東,997.5,1256.2,3.3,78,34.6,24.3,28.6,165.52,294.809,0,"1,310,940","2,444,940","-1,134,000","3,798,000","6,242,940"
2021/8/24,0.4,北,998.6,1407.8,3.6,82,35.3,24.6,27.6,165.38,293.603,5.5,"1,102,004","1,886,004","-784,000","4,032,000","5,918,004"
2021/8/25,0.3,東北北,1000.3,1007.6,1.2,81,35.5,24,27.4,165.3,292.88,10.7,"959,364","1,481,364","-522,000","3,582,000","5,063,364"
2021/8/26,1.5,東,1002.1,968.3,7.4,72,33.9,23.9,28.3,165.24,292.377,1.4,"873,220","1,481,220","-608,000","3,256,200","4,737,420"
2021/8/27,0.5,東南東,1002,1106.6,5,72,34.6,23.5,28.3,165.16,291.703,0,"789,064","1,484,064","-695,000","2,800,440","4,284,504"
2021/8/28,1.5,東,1001.3,961,5.9,71,34.1,23.6,28.7,165.08,290.94,0,"704,216","1,485,216","-781,000","2,714,760","4,199,976"
2021/8/29,2.2,東,1001.2,977.3,9.2,64,33.4,26,29.6,164.98,290.116,1.9,"620,440","1,486,440","-866,000","2,504,160","3,990,600"
2021/8/30,2.2,東,1001.6,920.2,3.7,63,34.5,25.3,29.8,164.89,289.343,2.1,"571,136","917,136","-346,000","2,301,840","3,218,976"
2021/8/31,2,東北東,1001,1087.3,3.2,69,33.1,25.6,29.1,164.86,289.044,0.4,"495,244","755,244","-260,000","2,192,760","2,948,004"
