日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/4/1,0,南,997.9,332.9,1.4,82,30.9,21.8,24.8,162.79,271.374,0,"590,152","1,936,152","-1,346,000","876,240","2,812,392"
2021/4/2,0.5,西南南,1000.1,348.4,4,78,32.8,20.8,25.2,162.63,269.989,0,"592,524","2,104,524","-1,512,000","857,160","2,961,684"
2021/4/3,0.8,西南西,1001.6,390.4,3.2,79,30.9,21.8,24.7,162.44,268.44,0.1,"474,940","1,814,940","-1,340,000","835,920","2,650,860"
2021/4/4,1.2,東南南,1006.6,447,1.6,82,22,16.7,19,162.28,267.121,1.3,"518,140","1,939,140","-1,421,000","803,520","2,742,660"
2021/4/5,1.1,東,1009.6,166.7,4.3,65,22.6,12.5,16.8,162.11,265.665,0,"436,348","1,938,348","-1,502,000","786,600","2,724,948"
2021/4/6,1.3,東北,1008.8,215.2,1.2,71,22.6,12.6,17.6,161.92,264.123,0,"421,892","1,835,892","-1,414,000","752,760","2,588,652"
2021/4/7,2.5,東南東,1006.8,94.7,4.7,69,24.5,13.5,19.4,161.75,262.65,0,"541,932","2,119,932","-1,578,000","734,400","2,854,332"
2021/4/8,0.4,南,1005.2,145.7,0.7,86,21.7,15.7,18.6,161.56,261.077,5.9,"558,748","2,546,748","-1,988,000","738,720","3,285,468"
2021/4/9,0.5,東南南,1009,526.5,0.3,92,16.8,15.3,15.8,161.32,259.152,6.7,"534,584","1,855,584","-1,321,000","759,960","2,615,544"
2021/4/10,0.2,西南南,1010,338.1,0.3,93,19.4,15.6,17.6,161.18,257.947,2.7,"636,652","2,120,652","-1,484,000","751,680","2,872,332"
2021/4/11,2,東,1007.7,191.9,3.4,76,29,17.8,23.4,160.96,256.173,1.9,"542,804","2,103,804","-1,561,000","758,520","2,862,324"
2021/4/12,1.4,東南南,1005.5,208.4,2.5,77,31.8,18.6,23.5,160.81,254.862,0,"567,036","2,124,036","-1,557,000","720,720","2,844,756"
2021/4/13,0.7,南,1004.7,214.5,0.7,84,31.2,19.2,22.6,160.57,252.989,2.3,"551,216","2,268,216","-1,717,000","717,120","2,985,336"
2021/4/14,0.8,西南南,1005.7,557.8,0.3,91,20.8,17.6,18.9,160.41,251.613,6.6,"586,952","2,135,952","-1,549,000","732,600","2,868,552"
2021/4/15,0.8,南,1003.9,370.5,0.5,87,22.6,18.2,20.1,160.2,249.946,2.5,"720,696","2,265,696","-1,545,000","761,040","3,026,736"
2021/4/16,1.1,西南西,1004,428.2,0.9,83,27.3,18.3,21.3,160.03,248.537,0.2,"683,440","2,143,440","-1,460,000","720,720","2,864,160"
2021/4/17,1,南,1007.3,413.6,0.6,75,26,18.9,21.3,159.84,246.963,1.6,"657,488","2,275,488","-1,618,000","698,040","2,973,528"
2021/4/18,3.5,東南東,1007.8,57.1,7.9,62,21.2,18.7,19.9,159.65,245.443,0,"615,300","2,148,300","-1,533,000","674,280","2,822,580"
2021/4/19,3.3,東南東,1004.4,35.3,36.4,61,25.1,18.9,21.4,159.45,243.833,0.4,"458,408","2,148,408","-1,690,000","653,760","2,802,168"
2021/4/20,3.3,東,1003.3,115.2,-,57,27.4,19.9,23.1,159.23,242.103,0,"543,740","2,149,740","-1,606,000","648,000","2,797,740"
2021/4/21,2.9,東,1001.8,180.3,0,68,28.8,19.9,23.8,159.03,240.432,15.6,"476,224","2,314,224","-1,838,000","648,000","2,962,224"
2021/4/22,1.7,東南東,997.5,203.1,0,78,29.7,21.8,25.1,158.94,239.866,22.6,"3,144,856","1,466,856","1,678,000","1,137,240","2,604,096"
2021/4/23,0.4,北,998.3,406.8,0,86,26.9,21,22.9,159.14,241.36,9.9,"2,116,196","2,036,196","80,000","1,148,760","3,184,956"
2021/4/24,0.9,東,1001.1,331.6,0,76,28.9,19.6,23.3,159.09,241.003,1.9,"1,355,324","1,755,324","-400,000","958,320","2,713,644"
2021/4/25,1.6,東,1003.3,223.3,0,80,24.2,19.3,21.5,159.02,240.385,1.8,"1,085,404","2,044,404","-959,000","851,040","2,895,444"
2021/4/26,2.4,東,1004.2,211.4,0,62,27,19.4,23.2,158.88,239.293,1.1,"822,712","2,177,712","-1,355,000","815,760","2,993,472"
2021/4/27,0.7,東,1005.2,182.7,0,79,28,18.5,22,158.69,237.765,2.1,"853,672","2,046,672","-1,193,000","833,760","2,880,432"
2021/4/28,0,西北,1005.1,450.4,62.2,93,23.2,19.9,21.3,158.56,236.758,14.7,"897,552","1,770,552","-873,000","976,320","2,746,872"
2021/4/29,0.1,北,1003.2,856.9,35.1,92,20.9,15.7,19,158.54,236.692,18.8,"1,588,000",0,"1,588,000","1,927,440","1,927,440"
2021/4/30,1.3,東南南,1001.7,353.3,4.6,71,32.5,13.4,21.9,158.69,237.782,0.2,"1,291,104","1,768,104","-477,000","1,446,120","3,214,224"
