日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/3/1,0.8,東南,1005.7,237.6,1.4,80,28.5,15.4,20.4,166.32,301.768,0.1,"540,644","1,597,644","-1,057,000","1,013,040","2,610,684"
2021/3/2,0.5,西南,1011.5,604.2,0.2,92,19.5,13.4,15.4,166.19,300.697,14.6,"737,892","1,880,892","-1,143,000","1,069,560","2,950,452"
2021/3/3,1.6,東南東,1010.6,459.8,0.3,84,17.9,13.4,16,166.08,299.679,1.5,"708,372","1,761,372","-1,053,000","1,097,280","2,858,652"
2021/3/4,0.9,西北,1008.7,412.8,0.8,84,23.7,15.8,18.3,165.95,298.567,0.4,"656,788","1,885,788","-1,229,000","982,800","2,868,588"
2021/3/5,1.9,東,1006.9,145.6,2.8,78,24.9,16.7,20.2,165.81,297.331,0.9,"574,084","1,887,084","-1,313,000","1,001,520","2,888,604"
2021/3/6,0.5,西南南,1007.7,308.8,3.1,89,21.1,16.5,18.1,165.67,296.062,17.2,"754,252","1,890,252","-1,136,000","997,200","2,887,452"
2021/3/7,0.1,西,1010,514.7,3.7,91,18.4,16.3,17.2,165.58,295.333,14.3,"1,088,544","914,544","174,000","1,410,120","2,324,664"
2021/3/8,1.2,東南南,1010.7,338.6,2.7,85,19.2,16,17.4,165.6,295.523,4.9,"1,506,032","1,768,032","-262,000","1,216,440","2,984,472"
2021/3/9,1,東南,1010.3,272,1.2,82,25,17,19.5,165.55,295.108,2.4,"1,340,828","1,602,828","-262,000","1,140,840","2,743,668"
2021/3/10,2.6,東南東,1011.8,303.3,1.2,80,20.4,16.7,18.4,165.52,294.777,5.6,"1,109,176","1,894,176","-785,000","1,147,320","3,041,496"
2021/3/11,1.2,東南,1009.1,222.5,2.7,75,29.4,17,21.5,165.44,294.148,0.5,"1,309,308","1,483,308","-174,000","1,180,080","2,663,388"
2021/3/12,1.8,東南,1009.8,139.5,2.3,77,24.8,17.4,19.6,165.38,293.57,0.9,"1,086,848","1,609,848","-523,000","1,108,440","2,718,288"
2021/3/13,2.9,東南東,1009.7,88.6,3.2,69,20.9,15.4,17.7,165.33,293.106,0.2,"963,168","2,181,168","-1,218,000","1,080,360","3,261,528"
2021/3/14,2.7,東南東,1007.1,194.5,3.6,70,22.9,15.6,19,165.2,291.974,0,"819,404","1,774,404","-955,000","1,013,040","2,787,444"
2021/3/15,1,東南東,1004.5,171.5,2.7,72,27.9,15.8,21.5,165.1,291.146,0.1,"894,796","1,328,796","-434,000","975,600","2,304,396"
2021/3/16,0.8,東南南,1003.8,207.3,3.4,73,31.5,16.5,22.3,164.96,289.895,0,"850,512","2,323,512","-1,473,000","955,080","3,278,592"
2021/3/17,0.7,東南,1004,150.6,2.6,83,27.6,18,21.2,164.81,288.629,0.2,"865,684","1,989,684","-1,124,000","925,920","2,915,604"
2021/3/18,0.9,西南,1003.5,289.9,1.4,86,24.8,18.4,21.1,164.65,287.219,1.2,"765,976","2,318,976","-1,553,000","921,600","3,240,576"
2021/3/19,0.7,南,1002.1,233.1,2.5,79,28.8,19,22.8,164.49,285.836,0.1,"860,108","2,151,108","-1,291,000","891,360","3,042,468"
2021/3/20,1.2,西南南,1001.3,291.7,3,77,28.9,19,22.6,164.33,284.449,0.4,"687,876","2,148,876","-1,461,000","857,880","3,006,756"
2021/3/21,0.3,西南南,1009.1,727.8,0,90,19.1,12.8,15.5,164.16,283.076,7.8,"861,716","2,146,716","-1,285,000","872,280","3,018,996"
2021/3/22,0.2,東南南,1015,723.3,1.9,91,13.1,11.5,12.2,164.01,281.727,12,"1,025,616","2,309,616","-1,284,000","1,116,000","3,425,616"
2021/3/23,1.8,東,1010.5,151,1.8,70,18.6,12.9,16.2,163.91,280.868,0,"800,704","1,483,704","-683,000","1,278,720","2,762,424"
2021/3/24,0.5,西北北,1007,372.9,7.5,87,17.9,11.7,15.3,163.87,280.587,11.7,"976,536","1,318,536","-342,000","1,329,480","2,648,016"
2021/3/25,0.9,東南東,1008.6,189.1,2.5,80,22.5,10.3,15.6,163.79,279.89,0.1,"669,180","1,863,180","-1,194,000","1,229,400","3,092,580"
2021/3/26,0.9,東南,1005.1,243,2.2,79,28,15.5,20.4,163.67,278.824,0,"691,084","1,797,084","-1,106,000","1,119,960","2,917,044"
2021/3/27,0.6,東南,1001.5,198.6,2.5,78,30.7,16,21.9,163.54,277.714,0,"614,004","1,634,004","-1,020,000","1,055,520","2,689,524"
2021/3/28,0.7,東南南,998.9,183.2,2.4,81,30.7,18.3,22.8,163.42,276.677,0.1,"651,380","1,924,380","-1,273,000","1,019,880","2,944,260"
2021/3/29,0.7,西南西,997.8,213.6,3.1,80,31.5,19.6,24.2,163.26,275.366,0,"659,924","1,929,924","-1,270,000","977,040","2,906,964"
2021/3/30,0.5,南,996.8,212.9,1.9,82,30.9,20.6,24.4,163.1,273.962,8.8,"648,380","1,915,380","-1,267,000","936,360","2,851,740"
2021/3/31,0.3,西,997.6,348.9,0.5,87,27.9,21.2,23.7,162.96,272.825,1.4,"666,024","2,100,024","-1,434,000","956,880","3,056,904"
