日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/8/1,0.2,東北,988.2,316.3,0.4,84,30.7,24.3,27.3,164.24,283.712,0,"727,724","1,499,724","-772,000","2,055,600","3,555,324"
2021/8/2,0.3,北,988.4,1004.2,0.6,86,31.7,24.5,26.6,164.15,282.965,3.5,"812,960","1,497,960","-685,000","2,028,960","3,526,920"
2021/8/3,0.3,東北,989,201,7.6,89,30.9,24.3,25.9,164.06,282.205,0,"642,248","1,498,248","-856,000","1,807,200","3,305,448"
2021/8/4,0.4,東,990.2,268.8,3.4,83,32.7,24.4,27.2,163.96,281.321,0.5,"646,552","1,500,552","-854,000","1,679,040","3,179,592"
2021/8/5,0.2,東南,989.3,828.9,0.8,86,31.8,24.1,26.9,163.85,280.399,3,"476,056","1,501,056","-1,025,000","1,566,000","3,067,056"
2021/8/6,0.1,東北北,988.1,719.1,0.5,91,27.1,24.4,25.4,163.74,279.46,5.5,"649,488","1,501,488","-852,000","1,547,280","3,048,768"
2021/8/7,1.1,西北北,988.3,160.4,0.1,90,26.3,23.7,24.6,163.65,278.64,5.4,"472,352","1,493,352","-1,021,000","1,440,360","2,933,712"
2021/8/8,0.7,東北,994.6,399.1,1.5,78,34.9,23.2,28.1,163.52,277.534,0,"569,512","1,504,512","-935,000","1,383,120","2,887,632"
2021/8/9,0.3,東南,996.9,633.1,1.4,85,33.2,24.9,27.6,163.39,276.475,0,"523,688","1,796,688","-1,273,000","1,331,280","3,127,968"
2021/8/10,0.4,東南,998,1343.6,0.4,84,32.7,24.1,27.2,163.24,275.192,0,"581,124","1,766,124","-1,185,000","1,273,680","3,039,804"
2021/8/11,0.4,東南,999.5,1196.8,0.6,82,34.9,24.4,27.6,163.1,273.983,0,"448,396","1,800,396","-1,352,000","1,190,160","2,990,556"
2021/8/12,0.3,東南東,999.2,741,1.5,81,35.1,24.2,27.7,162.94,272.642,0,"450,000","1,800,000","-1,350,000","1,159,200","2,959,200"
2021/8/13,0.4,東南南,996.9,1275.6,3.4,85,34.8,24.4,27,162.78,271.276,0,"412,648","1,926,648","-1,514,000","1,081,440","3,008,088"
2021/8/14,0.4,南,997.4,1155.4,1.7,81,35,24.1,27.9,162.61,269.79,0,"416,628","1,928,628","-1,512,000","974,160","2,902,788"
2021/8/15,0.2,東南東,1001,497.7,1.5,82,32.3,24.8,27.9,162.42,268.241,0,"409,356","2,083,356","-1,674,000","869,040","2,952,396"
2021/8/16,0.4,北,1002.5,784.1,1.2,81,35.8,24.7,28.4,162.22,266.588,1.2,"428,628","2,099,628","-1,671,000","810,720","2,910,348"
2021/8/17,0.4,北,1000.5,456.8,2.5,77,35.7,24.6,28.3,162.03,264.977,0.2,"433,592","2,099,592","-1,666,000","847,440","2,947,032"
2021/8/18,0.3,東,999.2,927.1,1.6,84,33.1,23.4,26.1,161.82,263.201,0,"352,984","2,346,984","-1,994,000","877,680","3,224,664"
2021/8/19,0.3,東北東,999.5,488.8,6,85,34.5,23.1,25.8,161.27,258.641,6.4,"880,432","6,579,432","-5,699,000","831,600","7,411,032"
2021/8/20,0,東南東,1000,665.5,3.7,79,35.1,22.9,27.2,160.58,252.963,4.1,"984,284","6,628,284","-5,644,000","835,200","7,463,484"
2021/8/21,0.1,東南東,999.1,755.2,4,78,34.9,23.6,28.1,159.89,247.342,59.7,"1,588,244","6,776,244","-5,188,000","1,013,760","7,790,004"
2021/8/22,0.4,東南,997.6,1071.1,2.5,80,35.6,24.5,28.2,159.44,243.677,88.2,"8,409,284","13,873,284","-5,464,000","6,950,880","20,824,164"
2021/8/23,0.2,東北東,997.5,1256.2,3.3,78,34.6,24.3,28.6,158.58,237.131,109.9,"20,353,896","18,832,896","1,521,000","21,006,000","39,838,896"
2021/8/24,0.4,北,998.6,1407.8,3.6,82,35.3,24.6,27.6,161.96,265.395,168.1,"48,091,640","5,597,640","42,494,000","54,057,600","59,655,240"
2021/8/25,0.3,東北北,1000.3,1007.6,1.2,81,35.5,24,27.4,164.78,288.565,0,"8,029,000",0,"8,029,000","20,091,600","20,091,600"
2021/8/26,1.5,東,1002.1,968.3,7.4,72,33.9,23.9,28.3,165.35,293.407,0.6,"3,135,000",0,"3,135,000","9,633,600","9,633,600"
2021/8/27,0.5,東南東,1002,1106.6,5,72,34.6,23.5,28.3,165.57,295.257,0.1,"2,337,424","2,861,424","-524,000","6,904,800","9,766,224"
2021/8/28,1.5,東,1001.3,961,5.9,71,34.1,23.6,28.7,165.47,294.329,0,"1,597,568","2,033,568","-436,000","5,857,200","7,890,768"
2021/8/29,2.2,東,1001.2,977.3,9.2,64,33.4,26,29.6,165.44,294.093,13,"1,570,092","1,483,092","87,000","5,803,200","7,286,292"
2021/8/30,2.2,東,1001.6,920.2,3.7,63,34.5,25.3,29.8,165.44,294.122,0.6,"1,124,584","1,036,584","88,000","4,996,800","6,033,384"
2021/8/31,2,東北東,1001,1087.3,3.2,69,33.1,25.6,29.1,165.55,295.174,64.3,"3,584,000",0,"3,584,000","8,154,000","8,154,000"
