日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/5/1,0,東南東,1002,237.3,1.3,77,31.5,17.9,23.3,158.62,237.232,0,"1,051,724","1,607,724","-556,000","1,230,840","2,838,564"
2021/5/2,1.4,南,1004.6,239.9,0.5,69,32.6,17.7,25,158.54,236.537,0,"949,048","2,058,048","-1,109,000","1,082,880","3,140,928"
2021/5/3,2.3,東,1003.9,95.4,45.9,76,27.4,21.9,24.9,158.38,235.344,4.6,"740,576","1,611,576","-871,000","1,010,160","2,621,736"
2021/5/4,0.2,東,1001.2,116,0,80,31,23.8,26.4,158.26,234.375,1.5,"796,408","2,058,408","-1,262,000","930,240","2,988,648"
2021/5/5,1,東南,1005.1,552.6,0,89,24.5,18.8,21.3,158.1,233.109,1.6,"755,348","2,172,348","-1,417,000","888,480","3,060,828"
2021/5/6,1.5,南,1004.9,316.2,0,80,30.3,18.9,24.2,157.91,231.625,0,"564,660","1,896,660","-1,332,000","851,760","2,748,420"
2021/5/7,0.8,東南南,1002.3,371.5,1,76,33.2,22.1,26.6,157.75,230.326,0,"646,008","2,053,008","-1,407,000","818,640","2,871,648"
2021/5/8,1,西南,1000,464.1,1.3,83,31.8,22.2,25.2,157.56,228.848,0.3,"551,100","2,186,100","-1,635,000","792,720","2,978,820"
2021/5/9,0.6,東南南,999.5,441.7,2.7,76,33.1,21.7,26.6,157.34,227.12,0,"564,852","2,037,852","-1,473,000","763,560","2,801,412"
2021/5/10,0.6,東南,998.7,516.4,3.2,73,34.8,22.6,27.9,157.16,225.712,0,"535,488","2,158,488","-1,623,000","743,760","2,902,248"
2021/5/11,0.8,東南南,998,581.5,5.1,74,36.1,23.2,28.2,156.94,224.043,0,"468,240","2,235,240","-1,767,000","718,560","2,953,800"
2021/5/12,0.5,東南南,998.5,663.9,4.6,69,37.5,23.6,29,156.67,221.975,0,"466,972","2,376,972","-1,910,000","699,984","3,076,956"
2021/5/13,0.6,東南南,999.3,643.9,4.2,72,34.9,23.5,28.9,156.45,220.315,0,"518,368","2,494,368","-1,976,000","699,840","3,194,208"
2021/5/14,0.7,東南南,999.9,704.2,3.9,76,35.3,24,28.5,156.19,218.309,0,"421,708","2,235,708","-1,814,000","699,840","2,935,548"
2021/5/15,0.7,東南南,999.3,759.2,3.2,75,35.8,24.4,28.6,155.95,216.516,0,"511,004","2,390,004","-1,879,000","671,040","3,061,044"
2021/5/16,0.6,東南南,998.8,726.2,4,72,37.4,24.6,29.7,155.69,214.577,0,"448,228","2,391,228","-1,943,000","660,960","3,052,188"
2021/5/17,0.5,東南,1000,725.8,3.6,72,35.5,24.6,28.9,155.43,212.617,0,"405,512","2,485,512","-2,080,000","633,600","3,119,112"
2021/5/18,0.5,東南南,1000.3,876.7,1.4,82,34.8,24.4,27,155.17,210.673,10,"694,392","2,245,392","-1,551,000","727,200","2,972,592"
2021/5/19,0.5,東北,999,1042.8,1.1,84,35.2,23.9,26.8,154.95,209.052,6.9,"417,396","1,818,396","-1,401,000","873,720","2,692,116"
2021/5/20,0.8,東南,998.6,803.6,3.8,74,35.4,23.7,28.2,154.76,207.656,0,"490,248","2,398,248","-1,908,000","822,600","3,220,848"
2021/5/21,0.4,東南,998.4,701.4,3.3,75,35.2,23.7,28.4,154.5,205.761,0.6,"516,852","2,415,852","-1,899,000","667,440","3,083,292"
2021/5/22,0.5,東南南,997.8,760.8,3.3,75,34.8,24.5,28.5,154.23,203.764,0,"394,172","2,429,172","-2,035,000","650,880","3,080,052"
2021/5/23,0.6,東南南,998.7,1009.8,2.3,80,35.6,24.6,28,153.96,201.797,7.9,"483,660","2,148,660","-1,665,000","645,120","2,793,780"
2021/5/24,0.8,東南,1000.5,698.9,11.3,86,35.6,23,26.4,153.93,201.836,93.1,"4,502,000",0,"4,502,000","1,472,040","1,472,040"
2021/5/25,0.7,東南南,1001.1,1087.9,7.3,83,33.2,22.5,26.2,154.55,206.188,6.7,"2,484,560","1,240,560","1,244,000","1,315,080","2,555,640"
2021/5/26,0.5,東南,998.8,891,4.5,78,34,23.2,27.8,154.6,206.536,0.2,"1,348,600","1,641,600","-293,000","1,110,960","2,752,560"
2021/5/27,0.7,東南東,998,853.5,4.5,73,36.9,24.1,29.2,154.52,205.916,0,"967,752","2,137,752","-1,170,000","918,720","3,056,472"
2021/5/28,0.9,西南南,997.7,856.7,4.7,74,37.6,24.9,29.6,154.35,204.656,2.3,"886,016","2,270,016","-1,384,000","864,720","3,134,736"
2021/5/29,0.4,東北東,996.7,1186.3,1.2,86,28.5,23.7,25.8,154.15,203.209,1.5,"672,056","1,978,056","-1,306,000","853,920","2,831,976"
2021/5/30,0.3,西北,994.7,851.1,0.7,90,29.5,23.4,25.3,154.01,202.28,50.6,"1,886,208","1,088,208","798,000","2,907,000","3,995,208"
2021/5/31,0.2,東北,996.4,985,4.2,92,25.7,22.7,24,154.4,205.264,46.9,"6,000,000",0,"6,000,000","5,947,200","5,947,200"
