日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/1/1,0.1,東北東,1014.7,97.1,1.1,79,15.3,7.9,11.2,168.2,318.524,0,"1,109,556","1,289,556","-180,000","2,475,360","3,764,916"
2021/1/2,0.1,東北東,1013.6,79.5,0.4,86,13.7,11.1,12.6,168.18,318.419,3.8,"974,520","614,520","360,000","2,221,200","2,835,720"
2021/1/3,0.9,東,1012.2,132.7,1.5,78,22.1,13.4,16.6,168.22,318.741,0.4,"817,460","458,460","359,000","2,328,120","2,786,580"
2021/1/4,0,西,1010.4,159.9,0.1,92,19.5,14.6,16.8,168.23,318.887,16.1,"1,168,992","1,168,992",0,"2,098,080","3,267,072"
2021/1/5,0,西,1010.7,375.9,0.1,92,17.4,13.9,15.6,168.3,319.45,20.7,"2,306,772","2,126,772","180,000","2,324,880","4,451,652"
2021/1/6,0.4,南,1010.2,369.4,2.5,89,15.6,13.5,14.2,168.26,319.157,21.7,"3,969,216","3,789,216","180,000","2,793,600","6,582,816"
2021/1/7,0,西南西,1012.9,415.2,3.5,92,13.7,8.6,11.4,168.25,319.071,27.2,"6,659,748","6,659,748",0,"3,279,960","9,939,708"
2021/1/8,0,西北西,1016.2,389.4,5.1,92,8.7,5.7,6.5,168.29,319.416,22.8,"7,023,240","6,663,240","360,000","4,194,000","10,857,240"
2021/1/9,0,東北,1016.1,303.6,3.6,85,8.7,5.9,6.9,168.41,320.459,0,"4,575,376","3,134,376","1,441,000","3,826,800","6,961,176"
2021/1/10,0.2,東,1014.1,237.1,2.1,77,13.8,6.3,10.7,168.3,319.379,1.7,"3,436,984","6,675,984","-3,239,000","2,973,600","9,649,584"
2021/1/11,0,西北北,1013.8,273,1.8,93,12,8.7,10.6,167.91,315.945,26.2,"3,374,080","6,688,080","-3,314,000","2,946,960","9,635,040"
2021/1/12,0,北,1012.9,379.8,6.3,82,14,5.5,8.7,167.79,314.886,1.8,"3,207,744","3,297,744","-90,000","3,072,600","6,370,344"
2021/1/13,0.5,東南東,1009.4,239.9,2.7,76,22,5,11.4,167.54,312.564,0.1,"2,908,336","6,387,336","-3,479,000","2,961,720","9,349,056"
2021/1/14,0.4,東,1007.4,111.5,1.3,74,21.7,7.7,13.6,167.39,311.293,0.1,"1,843,656","1,576,656","267,000","2,751,120","4,327,776"
2021/1/15,0.4,東南,1005.8,110.9,1.4,75,24.7,10,15.3,167.41,311.482,0.1,"1,403,156","1,581,156","-178,000","2,477,520","4,058,676"
2021/1/16,0.6,東南,1008.9,55.5,1,78,22.4,11.9,15.9,167.38,311.263,5.9,"1,104,452","1,015,452","89,000","2,316,240","3,331,692"
2021/1/17,0,西北北,1015.8,183.6,0.9,92,13.3,10.5,11.8,167.4,311.36,8.9,"1,313,436","1,580,436","-267,000","2,484,000","4,064,436"
2021/1/18,1,東,1013.3,133.4,2.8,77,14.4,10.3,12.4,167.36,311.063,0.1,"1,111,076","1,022,076","89,000","2,292,480","3,314,556"
2021/1/19,2,東南東,1011.1,37,3.4,63,20.1,13.3,16.4,167.37,311.13,0.8,"1,018,368","1,018,368",0,"2,108,520","3,126,888"
2021/1/20,2.9,東,1008.3,44.5,3.7,67,23.5,16.9,20,167.36,311.026,3,"910,344","1,177,344","-267,000","1,999,800","3,177,144"
2021/1/21,1,東,1005.3,77.3,2.4,75,28.8,15.9,21.5,167.33,310.759,0,"823,504","1,179,504","-356,000","1,904,760","3,084,264"
2021/1/22,0.9,東,1001.6,47.4,1.4,84,25.2,18.3,21.2,167.29,310.403,4.2,"944,032","1,300,032","-356,000","1,802,160","3,102,192"
2021/1/23,0.4,西北西,1003.4,209.9,0.4,86,23.6,17.7,19.6,167.24,309.969,3.5,"927,484","1,460,484","-533,000","1,733,040","3,193,524"
2021/1/24,2.7,東,1008.6,53.2,2.4,72,18.7,15.8,16.9,167.18,309.428,0.5,"838,304","1,460,304","-622,000","1,665,360","3,125,664"
2021/1/25,0,東南南,1008.1,102.6,1.9,77,24.9,14.1,17.7,167.11,308.799,0,"839,204","1,461,204","-622,000","1,608,480","3,069,684"
2021/1/26,0.4,東南南,1007,78.6,1.9,79,24.7,13.2,17.8,167.03,308.129,3.7,"752,068","1,462,068","-710,000","1,555,200","3,017,268"
2021/1/27,0.4,東南南,1007.9,189,0.5,85,18.8,16,17.1,166.96,307.49,4.7,"873,488","1,582,488","-709,000","1,541,160","3,123,648"
2021/1/28,0,西南西,1011.7,192.9,0.5,91,16.4,11.7,14.2,166.88,306.776,4.3,"966,240","1,587,240","-621,000","1,480,680","3,067,920"
2021/1/29,0.9,東,1014.8,172.3,1.9,69,16,10.7,13.1,166.81,306.178,0,"782,996","1,578,996","-796,000","1,465,200","3,044,196"
2021/1/30,1.6,東南東,1012.7,80.1,3.5,60,22.2,12.8,17.2,166.71,305.259,0.1,"707,352","1,592,352","-885,000","1,395,360","2,987,712"
2021/1/31,1.6,東,1011.3,60.4,2.7,72,24.8,12,17.5,166.61,304.382,0,"726,412","1,874,412","-1,148,000","1,341,360","3,215,772"
