日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021/6/1,0.4,東南,997.7,689.2,7.5,84,32.6,22.5,25.7,155.38,212.402,26.5,"6,616,000",0,"6,616,000","5,515,200","5,515,200"
2021/6/2,0.6,東南東,998.2,645.2,8.1,83,34.7,23.1,26.7,156.23,218.931,58.8,"8,667,000",0,"8,667,000","6,746,400","6,746,400"
2021/6/3,0.4,東南東,996.3,831.9,3.8,75,36.9,24.1,29.2,157.4,227.725,0.1,"5,145,250",0,"5,145,250","6,224,400","6,224,400"
2021/6/4,0.5,東南東,994.6,784.3,8.3,86,33.5,23.7,26.3,158.55,237.578,158.4,"26,109,000",0,"26,109,000","13,334,400","13,334,400"
2021/6/5,0.3,西北北,994,364.3,6.2,90,27.3,21.7,24.3,161.91,264.338,43.3,"14,725,000",0,"14,725,000","11,430,000","11,430,000"
2021/6/6,0.2,東南南,996.5,1236.3,1.6,90,25.1,21.7,23.5,163.29,275.818,5.9,"8,385,000",0,"8,385,000","8,347,680","8,347,680"
2021/6/7,0.5,東,999.9,761.6,0.9,84,31.6,22.3,25.6,163.96,281.439,0.5,"3,933,000",0,"3,933,000","6,789,600","6,789,600"
2021/6/8,0.6,東北東,1000.3,1272.9,2.5,78,33.8,23,27.2,164.33,284.564,0.4,"2,577,000",0,"2,577,000","5,292,000","5,292,000"
2021/6/9,0.5,東北,999,1230.9,2.3,78,32.7,23.7,27.2,164.58,286.719,0.1,"1,810,000",0,"1,810,000","5,148,000","5,148,000"
2021/6/10,0.6,東北,997.4,1147.9,1.4,80,35.2,22.9,27.1,164.78,288.478,10.4,"1,989,000",0,"1,989,000","5,742,000","5,742,000"
2021/6/11,0.4,東北,998.1,1096.1,3.9,76,33.5,23.4,28.3,164.99,290.206,0.2,"1,300,000",0,"1,300,000","4,932,000","4,932,000"
2021/6/12,0.5,東北東,1000.2,837.2,3.9,77,35.3,24.2,28.5,165.09,291.034,6.7,"1,400,764","1,486,764","-86,000","5,918,400","7,405,164"
2021/6/13,0.3,東北北,999.7,449,2.9,80,35.2,24.3,28.4,165.09,291.041,1.7,"1,400,700","1,487,700","-87,000","6,829,200","8,316,900"
2021/6/14,0.2,北,995.7,422.9,3.5,76,36.2,24.5,29.2,165.07,290.856,0,"1,228,060","1,488,060","-260,000","4,305,600","5,793,660"
2021/6/15,0.7,西北,993.4,556,4.3,75,35,24.4,29.4,165.02,290.415,0,"882,644","1,489,644","-607,000","3,432,600","4,922,244"
2021/6/16,1.1,西北北,994.3,634.3,6.2,72,36.1,24.8,29.7,164.95,289.82,0,"885,588","1,491,588","-606,000","2,866,320","4,357,908"
2021/6/17,0.6,東北,995.7,643.5,5.7,72,37.7,23.6,30,164.87,289.163,0,"710,752","1,489,752","-779,000","2,643,840","4,133,592"
2021/6/18,0.7,北,994.4,584.6,5.4,72,37.3,24.9,30.3,164.77,288.323,0,"716,784","1,493,784","-777,000","2,412,000","3,905,784"
2021/6/19,0.6,西北,992.4,613.7,4.8,71,38.7,24.9,30.4,164.68,287.47,0,"633,052","1,496,052","-863,000","2,209,680","3,705,732"
2021/6/20,0.5,東北北,991.5,502.4,4.7,73,37.4,24.9,29.8,164.58,286.608,5.4,"548,376","1,496,376","-948,000","2,101,680","3,598,056"
2021/6/21,0.4,東南東,992.1,382.1,4.8,73,36,25.4,29.7,164.47,285.736,1.5,"635,800","1,495,800","-860,000","1,895,760","3,391,560"
2021/6/22,0.4,東南南,994.6,165.1,0.8,85,31,24.1,26.9,164.38,284.886,32.9,"1,272,468","2,475,468","-1,203,000","2,036,880","4,512,348"
2021/6/23,0.3,南,997.5,118.1,0.3,91,28,22.5,24.5,164.28,284.091,32.1,"1,926,924","1,497,924","429,000","3,848,760","5,346,684"
2021/6/24,0.3,南,997.5,118.1,0.3,91,28,22.5,24.5,164.44,285.488,14.8,"4,021,236","2,473,236","1,548,000","5,630,400","8,103,636"
2021/6/25,0,東北北,997,146.8,1.9,87,29.6,23.1,25.4,164.46,285.639,3.5,"1,924,504","1,494,504","430,000","4,003,200","5,497,704"
2021/6/26,0.2,東北北,996.8,306.9,2.7,80,32.5,23.9,27.5,164.48,285.804,0,"1,408,324","1,494,324","-86,000","3,090,600","4,584,924"
2021/6/27,0,東,995.4,408.6,2,78,34.7,23.8,27.8,164.46,285.606,10.6,"1,321,892","1,493,892","-172,000","2,912,400","4,406,292"
2021/6/28,0.1,東北東,993.7,357.3,1.8,77,34.8,23.6,28,164.44,285.438,0.2,"1,237,044","1,495,044","-258,000","2,795,040","4,290,084"
2021/6/29,0.1,東北,994.3,378.6,2.5,77,36.2,24.7,28.6,164.39,285.015,0,"978,828","1,494,828","-516,000","2,487,600","3,982,428"
2021/6/30,0.3,東南東,995.5,398.7,2.9,77,35,24.7,29.1,164.32,284.428,0,"809,700","1,496,700","-687,000","2,241,360","3,738,060"
