日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2022/4/1,0.5,東南,1014.2,181.4,0.6,85,16.8,12.9,14.8,159.52,278.598,19.2,"1,341,116","2,242,116","-901,000","710,640","2,952,756"
2022/4/2,0.1,西北西,1013.7,181.4,1.4,92,14.7,12.7,13.6,159.38,277.48,0,"719,404","2,026,404","-1,307,000","584,640","2,611,044"
2022/4/3,0,北,1014.1,181.4,4.8,92,14.9,12.7,13.5,159.17,275.769,0.1,"683,260","2,476,260","-1,793,000","570,240","3,046,500"
2022/4/4,1.6,東,1013.2,181.4,1.6,77,20.2,13,17.2,158.96,274.023,4.6,"608,884","2,392,884","-1,784,000","734,400","3,127,284"
2022/4/5,1,東南東,1009.3,354.5,2.8,69,26.4,16.2,20.9,158.74,272.221,0.5,"614,200","2,230,200","-1,616,000","955,440","3,185,640"
2022/4/6,1.5,東南東,1007.2,354.5,1.6,73,23.7,18.2,20,158.57,270.869,0.5,"618,272","2,068,272","-1,450,000","756,720","2,824,992"
2022/4/7,0.9,東南東,1007.2,125.8,0.8,79,22.7,18.1,19.3,158.39,269.41,2.9,"698,476","2,224,476","-1,526,000","745,920","2,970,396"
2022/4/8,2.6,東,1005.9,432.6,5.3,64,25.7,17.9,21.3,158.17,267.679,3.8,"698,924","2,379,924","-1,681,000","726,480","3,106,404"
2022/4/9,2,東南東,1003.3,599.8,5.1,65,28.4,16.2,22.6,157.96,266.027,8.2,"784,576","2,376,576","-1,592,000","778,320","3,154,896"
2022/4/10,0.9,東南東,1002.2,528.8,3.7,70,33.4,17.1,23.8,157.78,264.543,11.4,"945,660","2,373,660","-1,428,000","855,360","3,229,020"
2022/4/11,0.6,東南南,1000.6,418.9,2,76,32.1,20.2,24.8,157.62,263.335,0,"869,948","1,896,948","-1,027,000","870,480","2,767,428"
2022/4/12,0.4,東南,998.7,459.1,3.6,74,33.1,19.2,25,157.53,262.236,0,"871,688","2,210,688","-1,339,000","775,440","2,986,128"
2022/4/13,0.4,東南南,996.7,398.5,3.3,74,32.4,20.6,24.9,157.48,260.655,0.1,"717,380","2,365,380","-1,648,000","734,400","3,099,780"
2022/4/14,0.1,東南東,999.6,218.1,0.4,90,21.9,18.3,20.3,157.28,258.762,0,"722,384","2,676,384","-1,954,000","720,720","3,397,104"
2022/4/15,0.3,西北西,1004.7,218.1,1.2,90,20.6,16.3,18.2,156.81,256.942,0,"724,744","2,514,744","-1,790,000","686,880","3,201,624"
2022/4/16,0.7,東南東,1006.2,134.1,2,79,19.9,15.7,17.3,156.58,255.113,0.7,"650,496","2,510,496","-1,860,000","674,640","3,185,136"
2022/4/17,0.9,東南東,1007,100.4,0.3,82,19,14.9,17.1,156.32,253.137,0,"657,704","2,662,704","-2,005,000","649,440","3,312,144"
2022/4/18,0.6,西南西,1006.9,140.9,0.5,85,21.4,16.6,18.5,156.13,251.683,38.9,"1,808,732","2,346,732","-538,000","669,600","3,016,332"
2022/4/19,0.6,東南東,1008.5,105.5,0.2,91,17.2,15,16,156.08,251.266,0.4,"1,113,908","2,188,908","-1,075,000","689,760","2,878,668"
2022/4/20,0.5,東南東,1005.2,144.4,1.4,84,22.8,14.9,18.3,155.9,249.911,0,"887,304","2,342,304","-1,455,000","716,400","3,058,704"
2022/4/21,0.1,東南南,1003.7,238.8,1,83,27.2,18,21.4,155.69,248.277,1.6,"816,728","2,494,728","-1,678,000","683,280","3,178,008"
2022/4/22,0.5,東南南,1002.8,511.2,3.2,74,33.3,18.9,24.8,155.5,246.864,0.1,"813,384","2,181,384","-1,368,000","652,320","2,833,704"
2022/4/23,0.4,東南南,1000.7,360.9,2.4,79,32.1,21.5,25.3,155.29,245.276,0.6,"666,116","2,332,116","-1,666,000","626,400","2,958,516"
2022/4/24,0.5,東南東,1000,350,2.2,83,32.8,21.6,24.8,155.15,244.285,70,"3,374,596","1,708,596","1,666,000","990,000","2,698,596"
2022/4/25,0.4,東南南,999.4,385.9,1.9,81,31.7,20.5,25.5,155.64,248.02,11,"3,893,832","311,832","3,582,000","1,198,800","1,510,632"
2022/4/26,0.4,南,998,545.3,4.2,75,35.3,22.8,27.7,155.91,250.01,7.7,"2,492,928","2,186,928","306,000","1,085,760","3,272,688"
2022/4/27,0.3,東南南,1000.6,271.1,1.8,84,31.4,22.4,26.1,155.89,249.908,2.1,"1,711,764","1,405,764","306,000","1,046,880","2,452,644"
2022/4/28,0.5,南,1001.5,491.5,3.1,81,33.1,21.7,25.9,155.93,250.17,0.6,"1,491,628","1,874,628","-383,000","993,600","2,868,228"
2022/4/29,1,東南南,1002.4,414.5,1.7,81,34.3,20,24.7,155.86,249.614,0,"1,264,608","2,029,608","-765,000","949,680","2,979,288"
2022/4/30,1.8,東南南,1004.3,232.8,1.6,79,25,19.4,21.2,155.75,248.773,6.5,"1,343,976","2,183,976","-840,000","911,520","3,095,496"
