日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2022/3/1,0.2,東南,1006.9,147.7,1.9,77,28.2,14.8,20.6,167.9,315.926,0,"1,313,412","776,412","537,000","3,084,480","3,860,892"
2022/3/2,0.7,東南南,1008.3,145.9,0.8,85,19.5,17.8,18.6,167.95,316.34,1.6,"1,198,800","1,018,800","180,000","2,833,200","3,852,000"
2022/3/3,1.4,東南東,1006.4,212.6,1.7,74,26.9,17.4,20.7,167.96,316.422,0.8,"1,059,624","1,059,624",0,"2,647,440","3,707,064"
2022/3/4,0.3,東南南,1003.8,262.1,3.5,79,28.4,16.4,20.9,167.96,316.422,0,"847,600","489,600","358,000","2,488,320","2,977,920"
2022/3/5,1.1,東南東,1004.7,181.7,1.5,79,21.8,17.6,19.7,167.99,316.702,0.1,"825,776","736,776","89,000","2,342,880","3,079,656"
2022/3/6,2.1,東南東,1006.5,206,5.3,73,20.1,17,18.7,167.99,316.721,7.1,"641,188","730,188","-89,000","2,162,880","2,893,068"
2022/3/7,1.5,西,1006.8,328.7,3.9,93,17.1,10.6,14.3,168,316.758,25.9,"1,681,976","2,219,976","-538,000","2,161,440","4,381,416"
2022/3/8,1.5,東,1008.1,349.2,5.8,65,22,10.5,15.6,167.9,315.859,0,"1,389,412","1,478,412","-89,000","2,190,600","3,669,012"
2022/3/9,1.9,東,1007,218.2,5.2,61,25.6,11,18.8,167.93,316.191,0,"1,038,248","769,248","269,000","1,951,920","2,721,168"
2022/3/10,0.3,東北北,1005.6,100.1,1.9,69,25.7,14.7,19.4,167.95,316.295,0,"845,388","845,388",0,"1,785,600","2,630,988"
2022/3/11,0.4,東南南,1004.3,164.6,2.8,71,29,13.5,20,167.94,316.266,0.3,"796,276","1,155,276","-359,000","1,657,440","2,812,716"
2022/3/12,1.6,東,1003.2,198.7,5.2,68,27.9,17.2,22.4,167.91,315.948,0,"825,176","1,183,176","-358,000","1,571,400","2,754,576"
2022/3/13,0.3,東南東,1003,131.4,2.5,74,29.4,16.7,21.8,167.83,315.266,0,"805,568","1,520,568","-715,000","1,497,600","3,018,168"
2022/3/14,0.6,東南,1002.3,222.2,3.2,75,29.3,16.4,21.7,167.73,314.308,0,"874,276","1,857,276","-983,000","1,432,080","3,289,356"
2022/3/15,0.9,東南東,1001.3,205.9,5.1,71,29.9,16.7,22.7,167.63,313.471,0,"705,356","1,687,356","-982,000","1,403,640","3,090,996"
2022/3/16,1.7,東南東,1001.2,214.6,4.2,69,29,18.6,23.6,167.53,312.589,0,"714,724","1,517,724","-803,000","1,348,200","2,865,924"
2022/3/17,0.5,南,998.9,232.8,2.4,73,30.9,19.8,23.8,167.41,311.509,2.8,"784,748","1,853,748","-1,069,000","1,309,680","3,163,428"
2022/3/18,0.4,西北北,999.1,,0.4,86,22.8,16,19.1,167.31,310.57,2.7,"784,488","1,852,488","-1,068,000","1,278,720","3,131,208"
2022/3/19,0.9,東南南,1000.9,410.3,2.2,73,29,14.8,21,167.19,309.491,3.8,"705,784","1,682,784","-977,000","1,226,880","2,909,664"
2022/3/20,1.6,東,1003.6,360.9,3.4,76,27.5,19.7,22.3,167.08,308.555,4.1,"882,776","1,681,776","-799,000","1,228,320","2,910,096"
2022/3/21,1,西南南,1003.4,392.5,2.1,81,28.5,19.5,22.5,166.98,307.663,4.8,"1,039,864","2,016,864","-977,000","1,240,560","3,257,424"
2022/3/22,0.5,西南西,1005,109.7,0.4,89,20.1,16.4,17.8,166.87,306.713,4,"872,520","1,847,520","-975,000","1,146,960","2,994,480"
2022/3/23,0.3,西南,1006.1,,0.1,91,17.1,13.7,15.1,166.78,305.886,14.6,"1,138,548","1,846,548","-708,000","1,374,840","3,221,388"
2022/3/24,1.5,東南東,1005.7,146.5,0.8,79,21.7,13.8,18.2,166.73,305.403,1.7,"979,200","1,510,200","-531,000","1,261,080","2,771,280"
2022/3/25,0.6,東南,1001,422.9,2.3,77,30.9,18.7,23.1,166.67,304.95,0.3,"811,972","1,341,972","-530,000","1,181,520","2,523,492"
2022/3/26,0.2,東南,1000.8,173.7,4.7,89,27.3,18.6,22.4,166.6,304.272,30.9,"1,322,772","1,676,772","-354,000","1,245,600","2,922,372"
2022/3/27,1.9,東南,1005.8,153.7,12.6,86,18.6,14.4,16.7,166.7,305.297,24.6,"3,334,956","502,956","2,832,000","2,482,560","2,985,516"
2022/3/28,0.6,東南,1009.5,,12.3,94,18.1,14.4,16,167.14,309.237,52.8,"5,602,000",0,"5,602,000","2,846,520","2,846,520"
2022/3/29,2.2,東,1007.7,207.4,10.7,77,24.5,16.7,20.9,167.95,316.432,16.4,"8,103,612","2,016,612","6,087,000","4,712,400","6,729,012"
2022/3/30,0.8,東南,1006.5,313.2,1.8,80,27.7,19.4,22.8,168.14,317.993,0.1,"4,163,024","5,421,024","-1,258,000","3,161,880","8,582,904"
2022/3/31,0.5,南,1008.3,136.7,0.8,86,23.5,16.7,20.2,168.01,316.874,3.6,"2,757,196","3,116,196","-359,000","2,704,680","5,820,876"
