日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2020/3/1,1.2,西南,1004.6,680.5,2.7,88,26.1,16.6,19.8,162.85,271.848,2.7,"895,212","2,074,212","-1,179,000","834,480","2,908,692"
2020/3/2,2,東南南,1010.6,906.1,2.2,85,17.1,14.6,16,162.71,270.728,3.1,"768,080","1,945,080","-1,177,000","848,880","2,793,960"
2020/3/3,1.3,東南,1008.9,917.1,4.3,77,24.5,15.5,19.6,162.56,269.408,0.2,"738,584","2,080,584","-1,342,000","818,280","2,898,864"
2020/3/4,0.3,西南南,1009.7,1005.7,3.6,91,18.8,14.1,16.6,162.41,268.199,6.5,"698,296","1,954,296","-1,256,000","827,280","2,781,576"
2020/3/5,1.8,東南,1011.8,830.8,7.2,88,14.9,13,14,162.29,267.267,18.7,"1,426,376","1,091,376","335,000","1,221,480","2,312,856"
2020/3/6,1.8,東南東,1006.7,799.6,4.2,76,24.7,14.7,19.1,162.34,267.584,0.2,"1,282,236","1,951,236","-669,000","1,099,080","3,050,316"
2020/3/7,0.5,東南,1004.1,708.8,2.8,82,26.8,16.1,20.3,162.23,266.654,0,"1,175,984","2,094,984","-919,000","992,160","3,087,144"
2020/3/8,1.8,東,1001.6,542,5.4,81,26.4,17.9,21.8,162.13,265.867,7.9,"1,012,932","1,930,932","-918,000","930,960","2,861,892"
2020/3/9,1.2,西南南,997.5,656.8,3.8,83,28.1,18.7,22.3,162.02,264.963,0.3,"1,280,632","1,780,632","-500,000","926,640","2,707,272"
2020/3/10,0.6,西北,1004.8,1173,7.7,91,21.4,13.3,16.7,162.17,266.261,43,"3,759,000",0,"3,759,000","1,712,880","1,712,880"
2020/3/11,2.5,東,1009.9,1046.8,5.5,73,18.6,13.3,16.2,162.52,269.209,0.2,"2,359,540","765,540","1,594,000","1,470,960","2,236,500"
2020/3/12,1,東北,1006,811.2,2.5,79,24.7,17,19.5,162.65,270.248,0.3,"1,687,452","1,519,452","168,000","1,292,760","2,812,212"
2020/3/13,0.8,西北西,1006,599.9,10.2,92,21.4,17.3,19,162.67,270.423,15.3,"1,692,712","935,712","757,000","1,282,680","2,218,392"
2020/3/14,0.1,西北,1009.6,697.9,5.9,92,17.4,13,14.5,162.82,271.676,14.2,"2,291,016","353,016","1,938,000","1,457,640","1,810,656"
2020/3/15,1.4,東,1010.1,919.5,6.5,67,22.4,10.7,15.5,163.01,273.3,0,"1,981,092","1,222,092","759,000","1,387,080","2,609,172"
2020/3/16,2.3,東,1010.9,691.9,7.7,59,22.9,10.7,16.8,163.07,273.799,0,"1,477,604","1,223,604","254,000","1,282,320","2,505,924"
2020/3/17,1,東南,1008.8,760.6,3.3,69,25.5,14.9,19.1,163.08,273.874,0,"1,217,368","1,639,368","-422,000","1,157,040","2,796,408"
2020/3/18,0.3,東北,1005.8,542.2,1.8,86,23.3,15.9,18.8,163.03,273.412,0.9,"1,093,876","1,347,876","-254,000","1,110,960","2,458,836"
2020/3/19,0.1,東北東,1004.7,453.4,1.5,92,20.2,17.3,18.4,162.97,272.916,6.7,"1,051,024","1,641,024","-590,000","1,101,600","2,742,624"
2020/3/20,1.8,東,1005.7,499.5,4,79,24.4,17.6,20.7,162.91,272.378,0.1,"881,232","1,640,232","-759,000","1,113,480","2,753,712"
2020/3/21,1.1,東南南,1004.6,576.5,3.2,77,30.5,17.7,23.2,162.81,271.539,0.1,"832,144","1,926,144","-1,094,000","995,400","2,921,544"
2020/3/22,0.4,東南,1003,562.3,4.6,79,32.1,19.3,24,162.67,270.374,0.4,"684,900","1,944,900","-1,260,000","958,320","2,903,220"
2020/3/23,1.3,東南東,1005.5,755.7,2.2,85,22.8,17.7,20.7,162.51,269.048,1.7,"710,080","1,801,080","-1,091,000","932,400","2,733,480"
2020/3/24,2.1,東南東,1005.3,787.1,2.4,79,26.8,17.6,21.5,162.39,268.042,2,"694,724","1,949,724","-1,255,000","906,480","2,856,204"
2020/3/25,0.9,東南東,1004,541.4,5,80,28.7,18.7,23.5,162.21,266.504,2,"689,132","2,109,132","-1,420,000","874,080","2,983,212"
2020/3/26,1,東,1003.9,689.1,5.7,75,31.1,20.1,25,162.08,265.418,0.1,"780,564","1,947,564","-1,167,000","832,320","2,779,884"
2020/3/27,0.8,東南南,1004,766.2,2.3,84,32.1,20.4,23.4,161.91,264.015,15.7,"949,604","2,114,604","-1,165,000","947,880","3,062,484"
2020/3/28,0.6,西南,1005.7,1397.7,15.4,91,20.8,13.3,17.5,161.84,263.509,24.7,"1,612,424","863,424","749,000","1,233,720","2,097,144"
2020/3/29,1.2,東南東,1005.9,1136.3,9.8,81,21.5,13.2,16.8,161.94,264.268,1,"1,333,988","1,001,988","332,000","1,236,600","2,238,588"
2020/3/30,0.7,西南,1003.6,1196.4,3.4,86,24.7,17.1,19.3,161.96,264.473,1.3,"1,190,680","1,273,680","-83,000","1,065,240","2,338,920"
2020/3/31,0.7,北,1002.9,1163,2.2,88,25.4,17.5,20.2,161.92,264.123,3,"1,063,920","1,978,920","-915,000","1,046,160","3,025,080"
