日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2020/8/1,1.6,東,998.4,620,12.4,71,34.3,25,29.3,154.89,208.658,0,"571,344","1,528,344","-957,000","1,304,640","2,832,984"
2020/8/2,0.3,東,997.7,459.5,2.4,79,35,24.4,28.2,154.76,207.71,7.1,"647,344","1,528,344","-881,000","1,301,040","2,829,384"
2020/8/3,0.6,北,993.2,97.4,0.2,91,26.7,24,25,154.74,207.564,50.2,"3,145,380","1,528,380","1,617,000","1,468,080","2,996,460"
2020/8/4,0.3,西北,996.9,276.8,0.8,84,32.1,23.5,27.1,155,209.518,2.7,"2,429,832","1,544,832","885,000","1,369,080","2,913,912"
2020/8/5,0.2,北,1001,327,1.4,81,33,24.6,27.9,155.02,209.635,0.1,"1,378,760","1,526,760","-148,000","1,306,440","2,833,200"
2020/8/6,0.8,東南東,1000.8,539,4.3,72,36,24.4,29,154.99,209.38,0,"1,001,280","1,664,280","-663,000","1,193,400","2,857,680"
2020/8/7,0.5,東南東,998.6,554.7,4.6,73,35.4,23.8,29.1,154.88,208.621,0,"847,116","1,657,116","-810,000","1,105,920","2,763,036"
2020/8/8,0.7,東南,995.8,463.7,4.3,74,35.3,24.7,29,154.76,207.716,0,"725,280","1,826,280","-1,101,000","1,067,040","2,893,320"
2020/8/9,0.6,東南,993.8,425.2,3.2,74,34.3,23.7,28.1,154.6,206.563,0,"655,352","1,826,352","-1,171,000","1,026,000","2,852,352"
2020/8/10,0.4,東南南,995.8,371.4,1.5,82,35,24.3,28.2,154.42,205.228,3.1,"588,484","1,829,484","-1,241,000","1,081,440","2,910,924"
2020/8/11,0.2,南,999.7,256.4,1.2,85,33.4,24.9,27.2,154.28,204.173,0.2,"576,664","1,667,664","-1,091,000","1,129,680","2,797,344"
2020/8/12,0.2,西南南,1003.7,376.3,1.4,84,34.9,24.3,27.5,154.12,203.024,0,"575,872","1,954,872","-1,379,000","1,038,240","2,993,112"
2020/8/13,0.6,東南東,1002.4,480.5,2.8,79,35.5,24,28.4,153.93,201.658,4.3,"537,852","1,839,852","-1,302,000","996,480","2,836,332"
2020/8/14,0.7,東南東,999.8,612,5,74,35.6,23.2,28.3,153.75,200.338,0,"467,044","1,549,044","-1,082,000","938,880","2,487,924"
2020/8/15,0.5,東南,999.4,399.4,4.1,75,33.8,23.4,27.7,153.52,198.686,0,"385,192","1,680,192","-1,295,000","874,800","2,554,992"
2020/8/16,1.1,東南東,999.6,442.7,4.6,69,34.3,23.7,28.6,153.33,197.361,1.6,"510,652","2,444,652","-1,934,000","853,200","3,297,852"
2020/8/17,2.9,東南東,998.6,393.7,5.6,61,33,27.3,29.6,153.08,195.555,1.2,"458,164","2,455,164","-1,997,000","838,080","3,293,244"
2020/8/18,2.9,東,998.2,359.4,4.3,62,33.4,26.7,29.5,152.84,193.835,0.1,"355,092","1,564,092","-1,209,000","825,120","2,389,212"
2020/8/19,2,東,998.5,601.7,6.1,65,34.7,24.2,29.4,152.57,191.955,0.1,"414,404","2,467,404","-2,053,000","792,000","3,259,404"
2020/8/20,1.7,東,999,603.6,6.1,66,34.5,23.8,29.3,152.29,189.944,0,"400,460","2,303,460","-1,903,000","760,320","3,063,780"
2020/8/21,3,東,998.3,550,6.3,66,33.7,24.8,29.2,152.01,187.985,4.3,"378,668","2,482,668","-2,104,000","740,160","3,222,828"
2020/8/22,0.3,東北北,996.2,271.9,0.1,89,31.2,24.4,26.3,151.77,186.275,33.8,"1,357,968","2,335,968","-978,000","1,215,360","3,551,328"
2020/8/23,3,西北西,994.8,388.7,3.7,75,32.1,24.4,27.6,151.67,185.603,2.9,"1,105,968","1,732,968","-627,000","1,205,280","2,938,248"
2020/8/24,0.6,北,993.3,483.7,2.9,74,35.9,22.6,28.6,151.51,184.481,0,"525,336","2,193,336","-1,668,000","935,280","3,128,616"
2020/8/25,0.9,西北北,991.7,587.8,5.9,70,36.9,23.5,29.5,151.26,182.742,0,"593,980","2,530,980","-1,937,000","840,240","3,371,220"
2020/8/26,0.5,東北北,992,398.4,4.8,83,36,24.5,27.1,151.05,181.322,5.4,"462,276","1,290,276","-828,000","1,235,880","2,526,156"
2020/8/27,0.3,東北,993,250.4,6.7,87,32.5,23.8,26,150.98,180.842,40.4,"1,598,424","1,115,424","483,000","2,230,200","3,345,624"
2020/8/28,0.2,東南東,993.6,392.3,3.3,79,34.5,23.8,28,151.17,182.13,0.2,"1,381,000",0,"1,381,000","2,185,200","2,185,200"
2020/8/29,0.8,東,995.1,280.5,2.4,77,33.1,24.4,28.2,151.26,182.77,1.3,"829,292","1,589,292","-760,000","1,620,360","3,209,652"
2020/8/30,1.1,東南東,995.6,518.5,5,71,34.6,24.8,29.2,151.16,182.023,0.5,"686,724","1,445,724","-759,000","1,401,840","2,847,564"
2020/8/31,0.3,西,994.7,405.7,1.5,81,32.7,23.8,27.3,151.02,181.064,21.6,"582,896","1,615,896","-1,033,000","1,272,240","2,888,136"
