日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2020/4/1,1.5,西南南,1007.5,1233.4,1.3,89,20.3,15.1,16.9,161.83,263.37,4.4,"1,052,384","1,551,384","-499,000","1,020,240","2,571,624"
2020/4/2,1.2,東南,1008.5,959.5,2,89,21.3,15.8,18.2,161.77,262.895,8.7,"1,027,848","1,276,848","-249,000","1,104,480","2,381,328"
2020/4/3,1,西南西,1008,1115.1,2.7,88,24.5,17.2,19.1,161.75,262.712,11.2,"1,194,136","1,277,136","-83,000","1,133,280","2,410,416"
2020/4/4,0.1,西南西,1009.8,819.7,1.4,92,17.4,14.9,16.5,161.75,262.698,3.2,"1,360,028","1,277,028","83,000","1,180,800","2,457,828"
2020/4/5,0.7,東,1010.9,824.4,1.9,88,17.6,14.7,15.6,161.76,262.767,2.5,"1,322,752","1,156,752","166,000","1,186,560","2,343,312"
2020/4/6,1.5,東南東,1007.4,966.7,1.4,86,18.5,15,16.6,161.75,262.715,9,"1,268,060","1,434,060","-166,000","1,205,280","2,639,340"
2020/4/7,0.1,西北西,1006.2,488.5,2.3,91,16.8,14.7,15.7,161.76,262.778,4.4,"1,324,660","1,158,660","166,000","1,396,800","2,555,460"
2020/4/8,0.7,東,1006.4,601,3.8,88,19.5,14.8,17.2,161.78,262.965,0.2,"1,219,184","887,184","332,000","1,340,640","2,227,824"
2020/4/9,0.8,東北東,1008.1,861.8,2.3,80,23.7,16.3,18.8,161.81,263.197,0.6,"1,218,592","1,550,592","-332,000","1,289,520","2,840,112"
2020/4/10,2.5,東,1008.5,752.5,6.5,69,26.3,16.4,20.7,161.76,262.767,0,"1,045,496","1,709,496","-664,000","1,214,640","2,924,136"
2020/4/11,0.8,西南南,1004.5,730.5,3.4,83,23.7,17.1,19.6,161.68,262.093,16.5,"1,102,240","1,434,240","-332,000","1,159,920","2,594,160"
2020/4/12,0.8,西南,1007.2,998.1,11.5,85,17.7,9,13.7,161.71,262.418,11.1,"1,749,176","337,176","1,412,000","1,522,800","1,859,976"
2020/4/13,1,東南,1009.1,1052,8.5,64,22.8,7,14.3,161.85,263.557,0,"1,558,212","976,212","582,000","1,468,800","2,445,012"
2020/4/14,2,東南東,1007.2,784,5.4,66,23.4,10.2,17.2,161.89,263.908,0,"1,222,112","1,139,112","83,000","1,334,160","2,473,272"
2020/4/15,1.4,東南,1005.1,787.1,4.2,71,25.1,15.1,19.2,161.86,263.582,0.1,"1,129,480","1,545,480","-416,000","1,244,880","2,790,360"
2020/4/16,1.9,東南東,1005,684.8,5.4,73,28.4,13.1,20.5,161.81,263.207,0.4,"961,264","1,626,264","-665,000","1,157,760","2,784,024"
2020/4/17,1,東南,1005.1,781.8,3.8,76,30.6,16.1,22,161.71,262.387,0,"798,680","1,462,680","-664,000","1,090,800","2,553,480"
2020/4/18,1,東南南,1004.7,747.4,3.9,80,30,17.9,22.8,161.59,261.332,0,"868,968","2,029,968","-1,161,000","1,044,720","3,074,688"
2020/4/19,0.7,東南,1001.6,702.3,3.1,84,29.8,19.7,23.6,161.46,260.306,0,"872,024","1,866,024","-994,000","992,880","2,858,904"
2020/4/20,2.1,東南東,1003.5,1037,4,85,25.2,20.6,22.3,161.33,259.251,0.8,"790,440","1,864,440","-1,074,000","948,600","2,813,040"
2020/4/21,0.8,南,1003.6,1525.9,2,89,26.3,19.3,21.3,161.18,257.975,1.5,"785,532","2,105,532","-1,320,000","916,200","3,021,732"
2020/4/22,1.7,東南南,1007.2,1438.3,2.3,88,19.9,17.8,18.6,161.04,256.8,12.1,"788,660","1,941,660","-1,153,000","930,960","2,872,620"
2020/4/23,2.2,東南東,1008.9,1113.9,6.1,90,18.8,15.5,17.2,160.95,256.135,31.2,"1,918,192","1,671,192","247,000","1,355,040","3,026,232"
2020/4/24,2.5,東南東,1009.5,503.9,14.3,91,16.6,15,15.7,161.19,258.155,20.2,"3,548,000",0,"3,548,000","2,704,320","2,704,320"
2020/4/25,0.8,東南東,1006.7,956.4,3.7,90,21.1,15.7,18.8,161.58,261.339,0.1,"2,405,000",0,"2,405,000","2,553,120","2,553,120"
2020/4/26,0.3,東南,1006.8,798.8,2.1,92,21.7,17.6,19.2,161.8,263.155,0.3,"1,652,016","488,016","1,164,000","1,858,320","2,346,336"
2020/4/27,1.7,東南東,1007.2,1600.4,2.3,82,23,17.6,20.5,161.91,264.026,2.4,"1,395,304","1,145,304","250,000","1,611,360","2,756,664"
2020/4/28,3.4,東,1008.1,1332.4,5.3,67,25.7,17,21.9,161.88,263.748,2.7,"1,210,056","1,627,056","-417,000","1,484,640","3,111,696"
2020/4/29,2.6,東,1006.4,975.1,6.2,66,28.9,19.1,23.6,161.86,263.627,0,"985,028","1,151,028","-166,000","1,418,040","2,569,068"
2020/4/30,1.2,東南,1005.1,858.8,5.7,73,32.2,17.2,23.9,161.78,262.982,0,"938,272","1,852,272","-914,000","1,345,680","3,197,952"
