日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2021-01-01,0.1,東北東,1014.7,97.1,1.1,79,15.3,7.9,11.2,168.2,318.524,0.0,"1,109,556","1,289,556","-180,000","2,475,360","3,764,916"
2021-01-02,0.1,東北東,1013.6,79.5,0.4,86,13.7,11.1,12.6,168.18,318.419,3.8,"974,520","614,520","360,000","2,221,200","2,835,720"
2021-01-03,0.9,東,1012.2,132.7,1.5,78,22.1,13.4,16.6,168.22,318.741,0.4,"817,460","458,460","359,000","2,328,120","2,786,580"
2021-01-04,0.0,西,1010.4,159.9,0.1,92,19.5,14.6,16.8,168.23,318.887,16.1,"1,168,992","1,168,992",0,"2,098,080","3,267,072"
2021-01-05,0.0,西,1010.7,375.9,0.1,92,17.4,13.9,15.6,168.3,319.45,20.7,"2,306,772","2,126,772","180,000","2,324,880","4,451,652"
2021-01-06,0.4,南,1010.2,369.4,2.5,89,15.6,13.5,14.2,168.26,319.157,21.7,"3,969,216","3,789,216","180,000","2,793,600","6,582,816"
2021-01-07,0.0,西南西,1012.9,415.2,3.5,92,13.7,8.6,11.4,168.25,319.071,27.2,"6,659,748","6,659,748",0,"3,279,960","9,939,708"
2021-01-08,0.0,西北西,1016.2,389.4,5.1,92,8.7,5.7,6.5,168.29,319.416,22.8,"7,023,240","6,663,240","360,000","4,194,000","10,857,240"
2021-01-09,0.0,東北,1016.1,303.6,3.6,85,8.7,5.9,6.9,168.41,320.459,0.0,"4,575,376","3,134,376","1,441,000","3,826,800","6,961,176"
2021-01-10,0.2,東,1014.1,237.1,2.1,77,13.8,6.3,10.7,168.3,319.379,1.7,"3,436,984","6,675,984","-3,239,000","2,973,600","9,649,584"
2021-01-11,0.0,西北北,1013.8,273.0,1.8,93,12.0,8.7,10.6,167.91,315.945,26.2,"3,374,080","6,688,080","-3,314,000","2,946,960","9,635,040"
2021-01-12,0.0,北,1012.9,379.8,6.3,82,14.0,5.5,8.7,167.79,314.886,1.8,"3,207,744","3,297,744","-90,000","3,072,600","6,370,344"
2021-01-13,0.5,東南東,1009.4,239.9,2.7,76,22.0,5.0,11.4,167.54,312.564,0.1,"2,908,336","6,387,336","-3,479,000","2,961,720","9,349,056"
2021-01-14,0.4,東,1007.4,111.5,1.3,74,21.7,7.7,13.6,167.39,311.293,0.1,"1,843,656","1,576,656","267,000","2,751,120","4,327,776"
