日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2023-01-01,2.7,東南東,1013.2,166.2,0.6,80.0,20.4,16.2,18.4,167.38,311.309,22.3,"7,911,888","4,350,888","3,561,000","4,206,600","8,557,488"
2023-01-02,1.4,東南東,1013.3,104.7,0.4,84.0,20.0,16.3,18.1,167.52,312.519,18.3,"6,354,688","6,710,688","-356,000","4,104,000","10,814,688"
2023-01-03,1.1,東南,1014.7,117.2,0.9,87.0,17.4,14.3,15.8,167.45,311.85,14.2,"5,642,236","6,712,236","-1,070,000","3,855,600","10,567,836"
2023-01-04,1.6,東南東,1014.4,94.1,1.3,85.0,17.2,14.1,15.8,167.29,310.436,9.9,"5,033,108","6,723,108","-1,690,000","3,463,200","10,186,308"
2023-01-05,0.3,東北,1012.9,153.4,1.1,88.0,22.6,15.7,18.1,167.11,308.814,9.7,"4,078,692","4,789,692","-711,000","3,164,400","7,954,092"
2023-01-06,0.0,西北北,1012.8,61.2,0.1,90.0,18.5,14.9,17.0,167.26,310.166,6.4,"3,436,768","2,103,768","1,333,000","3,369,600","5,473,368"
2023-01-07,1.8,東,1012.3,123.4,1.5,70.0,18.7,14.1,16.2,167.37,311.171,0.0,"2,725,184","2,102,184","623,000","3,103,920","5,206,104"
2023-01-08,2.5,東,1010.6,339.5,2.0,64.0,25.1,16.6,19.5,167.41,311.442,0.0,"2,104,164","2,104,164",0,"2,871,000","4,975,164"
2023-01-09,0.7,東南,1009.4,186.0,3.2,81.0,24.8,16.3,19.3,167.38,311.167,10.8,"1,657,184","2,102,184","-445,000","2,684,160","4,786,344"
2023-01-10,1.6,東南東,1008.5,196.4,0.1,79.0,23.2,17.4,19.2,167.35,310.926,8.2,"2,014,444","2,103,444","-89,000","2,661,840","4,765,284"
2023-01-11,1.9,東,1007.2,188.8,0.9,78.0,24.2,17.1,20.0,167.33,310.763,7.7,"1,833,300","1,833,300",0,"2,437,920","4,271,220"
2023-01-12,0.9,東南南,1005.2,294.0,2.3,73.0,27.6,17.8,21.9,167.37,311.108,0.1,"2,366,724","1,832,724","534,000","2,427,480","4,260,204"
2023-01-13,0.7,東南,1002.6,292.3,1.5,79.0,29.5,17.2,21.9,167.4,311.356,0.7,"1,832,292","1,832,292",0,"2,208,600","4,040,892"
2023-01-14,0.5,東南,999.8,299.0,1.1,79.0,30.8,18.1,22.6,167.37,311.085,0.1,"1,387,292","1,832,292","-445,000","2,054,520","3,886,812"
2023-01-15,0.4,西南南,1007.2,108.3,0.3,86.0,20.9,11.6,15.3,167.31,310.54,8.7,"1,211,668","1,834,668","-623,000","1,886,040","3,720,708"
