日期,風速m/s,風向D,氣壓mb,日輻射量cal/cm2,蒸發量mm,相對溼度%,最高溫度,最低溫度,平均溫度,翡翠水庫日平均水位/公尺,水庫有效蓄水量/百萬立方公尺,集水區平均雨量/毫米,水庫進流量/立方公尺,水庫放流量/立方公尺,進流量減放流量/立方公尺,南勢溪流量/立方公尺,南北勢溪合計原水量/立方公尺
2024-01-01,2.8,東南東,1012.6,100.7,2.6,65,16.9,13.8,15.7,168.04,352.041,0.0,"1,212,992","1,843,992","-631,000","1,512,000","3,355,992"
2024-01-02,1.8,東,1008.0,338.3,2.0,71,24.0,12.1,17.1,167.96,351.342,0.0,"1,023,560","1,564,560","-541,000","1,497,600","3,062,160"
2024-01-03,0.6,西,1011.2,35.1,3.8,86,15.8,9.8,13.5,167.89,350.764,3.2,"936,036","1,566,036","-630,000","1,508,400","3,074,436"
2024-01-04,1.6,東,1011.3,106.2,2.1,72,17.1,9.5,14.0,167.82,350.148,0.0,"838,224","1,288,224","-450,000","1,491,120","2,779,344"
2024-01-05,0.8,東南,1010.0,348.5,1.5,75,24.6,11.2,16.5,167.76,349.586,0.0,"758,952","1,568,952","-810,000","1,404,000","2,972,952"
2024-01-06,0.6,西南,1010.9,335.9,1.7,75,24.6,12.1,16.9,167.67,348.746,0.0,"721,172","1,709,172","-988,000","1,346,400","3,055,572"
2024-01-07,1.0,東南東,1013.6,58.3,1.1,69,16.9,15.2,16.1,167.56,347.754,0.0,"673,724","1,571,724","-898,000","1,301,760","2,873,484"
2024-01-08,1.9,東,1010.0,159.0,2.0,70,21.4,15.8,17.9,167.46,346.808,0.1,"597,848","1,852,848","-1,255,000","1,274,400","3,127,248"
2024-01-09,0.3,北,1007.2,162.5,0.2,82,21.5,15.3,17.3,167.32,345.612,0.4,"728,888","1,713,888","-985,000","1,220,400","2,934,288"
2024-01-10,0.1,北,1010.5,42.2,0.2,86,15.6,8.2,13.5,167.2,344.512,1.1,"603,772","1,856,772","-1,253,000","1,229,040","3,085,812"
2024-01-11,1.3,東,1011.0,334.0,1.6,71,18.5,7.7,12.2,167.06,343.241,0.0,"571,268","2,000,268","-1,429,000","1,136,880","3,137,148"
2024-01-12,0.8,東南,1009.2,321.8,1.4,75,23.6,9.4,15.0,166.9,341.812,0.1,"522,300","1,860,300","-1,338,000","1,090,800","2,951,100"
2024-01-13,2.4,東南東,1010.7,396.7,2.9,68,23.5,11.8,17.1,166.75,340.489,0.0,"581,172","2,006,172","-1,425,000","1,071,360","3,077,532"
2024-01-14,1.2,東南東,1010.8,313.5,1.7,69,25.2,14.1,18.5,166.58,339.02,0.0,"495,036","2,007,036","-1,512,000","1,033,200","3,040,236"
2024-01-15,0.3,東南南,1013.4,82.9,0.1,86,18.3,13.0,15.3,166.43,337.619,24.9,"715,012","1,869,012","-1,154,000","1,034,640","2,903,652"
2024-01-16,2.0,東南東,1014.4,141.1,1.3,77,17.9,14.3,15.9,166.32,336.687,3.4,"983,164","1,870,164","-887,000","1,228,320","3,098,484"
2024-01-17,1.9,東,1010.3,242.2,2.7,68,24.3,15.9,19.1,166.21,335.682,0.2,"808,892","1,871,892","-1,063,000","1,144,080","3,015,972"
2024-01-18,0.7,東南,1007.1,321.7,14.1,69,27.3,16.5,21.1,166.08,334.538,0.0,"817,268","2,144,268","-1,327,000","1,046,880","3,191,148"
2024-01-19,1.5,東南東,1006.6,374.1,15.6,76,28.8,13.2,19.8,165.92,333.085,0.0,"651,844","2,153,844","-1,502,000","1,013,040","3,166,884"
2024-01-20,0.6,南,1006.4,218.9,6.6,82,26.3,15.4,18.9,165.74,331.58,2.2,"615,836","2,026,836","-1,411,000","969,120","2,995,956"
